"","DASanthesis_BLUP_BayesCBLUP","DASmaturity_BLUP_BayesCBLUP","DATanthesis_BLUP_BayesCBLUP","DATmaturity_BLUP_BayesCBLUP","fruitno_BLUP_BayesCBLUP","fruitlength_BLUP_BayesCBLUP","fruitwidth_BLUP_BayesCBLUP","fruitshapeindex_BLUP_BayesCBLUP","fruitweight_BLUP_BayesCBLUP","yield_BLUP_BayesCBLUP","pollenconcentration_BLUP_BayesCBLUP","pollenactivity_BLUP_BayesCBLUP","leaftemp_BLUP_BayesCBLUP","leafminushobotemp_BLUP_BayesCBLUP","growthrateplot_BLUP_BayesCBLUP","growthrateplant_BLUP_BayesCBLUP","height_BLUP_BayesCBLUP","heightmax_BLUP_BayesCBLUP","leafangledaily_BLUP_BayesCBLUP","leafanglemean_BLUP_BayesCBLUP","leafanglenoon_BLUP_BayesCBLUP","leafanglemidnight_BLUP_BayesCBLUP","leafanglemidnightminusnoon_BLUP_BayesCBLUP","leafanglebright_BLUP_BayesCBLUP","leafanglelow_BLUP_BayesCBLUP","leafanglelowminusbright_BLUP_BayesCBLUP","leafanglecold_BLUP_BayesCBLUP","leafangleHot_BLUP_BayesCBLUP","leafanglecoldminushot_BLUP_BayesCBLUP","leafareadaily_BLUP_BayesCBLUP","leafareadailyplant_BLUP_BayesCBLUP","leafareaindex_BLUP_BayesCBLUP","leafareaprojecteddaily_BLUP_BayesCBLUP","leafareaprojectedplant_BLUP_BayesCBLUP","leafinclinationmean_BLUP_BayesCBLUP","leafinclinationhot_BLUP_BayesCBLUP","leafinclinationcold_BLUP_BayesCBLUP","leafinclinationbright_BLUP_BayesCBLUP","leafinclinationdark_BLUP_BayesCBLUP","leafinclinationnoon_BLUP_BayesCBLUP","leafinclinationmidnight_BLUP_BayesCBLUP","lightpendaily_BLUP_BayesCBLUP","lightpenmeanplot_BLUP_BayesCBLUP","lightpenmeanplant_BLUP_BayesCBLUP","huedaily_BLUP_BayesCBLUP","huemean_BLUP_BayesCBLUP","huebin0_BLUP_BayesCBLUP","huebin1_BLUP_BayesCBLUP","huebin5_BLUP_BayesCBLUP","ndvimean_BLUP_BayesCBLUP","ndvibin0_BLUP_BayesCBLUP","ndvibin1_BLUP_BayesCBLUP","ndvibin2_BLUP_BayesCBLUP","ndvibin3_BLUP_BayesCBLUP","ndvibin4_BLUP_BayesCBLUP","ndvibin5_BLUP_BayesCBLUP","green_BLUP_BayesCBLUP","greenb0_BLUP_BayesCBLUP","greenb1_BLUP_BayesCBLUP","greenb2_BLUP_BayesCBLUP","greenb3_BLUP_BayesCBLUP","npcimean_BLUP_BayesCBLUP","psrimean_BLUP_BayesCBLUP","biomassfinalplot_BLUP_BayesCBLUP","biomassfinalplant_BLUP_BayesCBLUP","heightfinal_BLUP_BayesCBLUP","heighmaxfinal_BLUP_BayesCBLUP","leafareafinalplot_BLUP_BayesCBLUP","leafareafinalplant_BLUP_BayesCBLUP","leafareaindexfinal_BLUP_BayesCBLUP","leafareafinalprojectedplot_BLUP_BayesCBLUP","leafareafinalprojectedplant_BLUP_BayesCBLUP","lightpenetrationfinal_BLUP_BayesCBLUP","biomassAUC_BLUP_BayesCBLUP","biomassAUCperplant_BLUP_BayesCBLUP"
"265",72.6490480420436,124.551099470802,29.9086872438994,82.3767033788577,68.770333997643,8.11774813274614,1.59520796469177,4.98908734010913,5.36707735841023,17.3727092013349,25155.9299595171,91.1441502836547,NA,NA,10013265.2429423,2483.28028810228,8.2500866577164,7.58273730047065,0.00452789162081476,37.5616067948303,37.4591762278626,37.5767650538222,0.154048940846098,38.8164778260426,34.0555743164518,-4.83563008919711,34.0821036501458,40.832452533366,-6.73484874241774,13113.8222738046,3272.91812586266,0.415613827445927,6369.7812037985,1583.61992678098,1.67767197099216,1.578481288374,1.80374541795627,1.62954691982613,1.80970840874359,1.68255594936999,1.67362928910114,1.59890062095538,185.268002694408,46.110436840311,0.0611569557715602,107.964363715209,0.0577084848066837,0.637221314307693,0.0137696356385176,0.737930181621054,0.00891521352597567,0.0215539163336008,0.074777527799817,0.236365298030331,0.431433799361026,0.231255505033302,0.386008795203195,0.215222693680832,0.278896156944785,0.285509244691074,0.151852400435048,NA,0.0371236928746793,536318594.837243,132596.572852424,69.2740846321273,818.869593191307,766524.291132503,1913.13955573703,0.67097999490781,360660.41503433,896.674541313471,222.058874024064,NA,NA
"266",67.2234231026133,122.424549196287,25.1376340279261,80.5736302247032,67.001994845942,8.95410925204718,1.83465429489488,5.71873628974281,21.2033069173701,15.1032167024295,19136.8230819676,91.8947519498455,NA,NA,10213827.6456821,2548.50326694861,7.99111983111808,7.5930765937557,-0.0205926245856885,37.7249081830842,37.6978226149474,37.7646347067296,0.136829818222303,39.1255032785769,33.8467395579276,-5.55546122856141,33.7539941053194,41.4674147964975,-7.64233238098775,13383.0996666691,3357.88190620414,0.411793448326072,6426.96640839004,1587.52067916413,1.67119532329071,1.5663810359703,1.81892486618859,1.61347730991089,1.82209266617598,1.6729817338138,1.66654065879347,1.53174310617203,209.44576300857,51.4928396049713,0.0446894637035487,107.965631542622,0.062056137504467,0.627070034024632,0.0145580794987397,0.74023011333477,0.0103195582299932,0.0217247907286193,0.0716911789152288,0.231160513987028,0.433366207319317,0.235192792894256,0.379299278182798,0.228978649387228,0.269861709884329,0.284821961011455,0.149802366023476,NA,0.0367266403477923,553633971.128723,139221.820267157,68.7153230917364,838.040275802171,791715.044185625,1976.85673478754,0.688631130797747,362763.672069557,897.50178917062,238.670051143689,NA,NA
"267",66.2098952340391,123.986269017433,24.3469665603717,82.1979747981593,72.663497578973,11.8594733816831,1.49950072975596,7.8042124271253,7.2452742630654,18.4534429815337,22635.6627540852,91.9358431092666,NA,NA,9165651.64301925,2273.76218620156,7.24088647104996,7.2143453438996,0.00345264759003515,37.8457472821579,37.7175687249763,37.845689669727,0.160401919494562,38.9704339480242,34.0556153539008,-5.06252740613158,33.9171539278089,40.6276374390053,-6.76726212655653,13168.8629164916,3290.98465761864,0.411814588645864,6418.65620917715,1573.99106248791,1.66865605523469,1.58679045856158,1.8104253426933,1.62679593005028,1.81339274300506,1.67704853245618,1.66628465834016,1.85959645318642,197.981767328846,49.3383434861082,0.0690762445321168,107.963995173534,0.0601816141183406,0.626317342610311,0.0137278070757672,0.738196960569102,0.0084937312946512,0.0221309006245673,0.0746766420426917,0.2357260779301,0.434492833637207,0.228982176070246,0.36059525222112,0.252753472575147,0.289958529293468,0.265828542411544,0.132588233365994,NA,0.036796463317623,495672097.895971,125427.206687994,62.8290189613943,774.813133968191,769048.73523214,1923.25896109051,0.674310357659986,358888.233902699,883.388947702242,244.761658175224,NA,NA
"268",70.892115622224,123.704940204429,28.4071909543833,82.1243901518365,65.9649183835573,8.27817884978909,1.76482044201468,4.58469841756978,1.94530277194969,15.5799665525832,23146.443887738,90.072589810333,NA,NA,8959875.90106788,2236.48585642626,7.71250657349734,6.95568451866406,0.00480254873541265,36.2946164145806,36.2819549595488,36.4429385976643,0.133326670495739,38.2272515462601,33.9902597191785,-4.10451562262605,33.9465357905426,39.9322297401427,-5.75774711654114,12439.961472708,3147.90407416269,0.386891768382419,5734.60405662579,1440.52238686254,1.71760443004774,1.60641023180351,1.8108602261131,1.65568871868964,1.80817461319198,1.71803922673959,1.71750188929725,1.66818247731506,190.051261308469,47.7442096818887,0.0596475574005605,107.964400149788,0.062676164443052,0.621139683939224,0.0167715993484291,0.73825532195719,0.0104503981528602,0.0229443354781287,0.074502713767157,0.233369957156337,0.422300109713052,0.235954158562236,0.366808324127825,0.246081885809638,0.279699213358824,0.26468383487483,0.13934493716668,NA,0.0367247291973605,484912096.080568,121286.306319629,66.3983239005913,784.25224382204,737520.259753913,1825.48445688381,0.645215292589345,324862.504114919,814.172118520882,225.910517844335,NA,NA
"269",50.0509041327171,119.769711251142,7.96455523786502,77.7959677121924,1.2218050724597,14.6688727267541,3.23229567933688,5.38087897804962,44.5558385505132,15.6582134401479,28890.8531788536,90.5571232021703,NA,NA,4825913.64892636,1232.91412561254,4.54343465842099,4.82133101122188,-0.0525320443311654,36.7697971714251,36.5990876950127,36.7408643743385,0.109792147546928,39.6295398495549,33.5925299360157,-5.94059932469167,33.7027255687908,40.1840822978632,-6.35490544661042,9891.35715621156,2501.78128792712,0.313505877638162,4464.99341172684,1112.73081174,1.69897882534026,1.59287639375429,1.82040775880608,1.59044817053323,1.81732581414249,1.69821951451764,1.69538648176168,2.30534537200133,183.554163659298,46.9729374240904,0.0433089262343261,107.941075265905,0.0736733858592603,0.63248623418651,0.0186537561625759,0.725642859336075,0.0101657322638959,0.0273737153569312,0.0861014255288864,0.256601715126212,0.402661029313714,0.209515339401077,0.351366155437856,0.278286192437905,0.279213698077422,0.245364704484673,0.128457573988531,NA,0.0381915239730657,248523251.073097,63553.5597419297,42.5066441609097,608.307265055394,571999.033094405,1435.80783870755,0.505025002731905,246770.351109757,624.255761980747,237.995915962244,NA,NA
"270",50.4942090568912,115.704356813974,8.57667769257994,73.7409739646529,40.0471619066841,9.33060716319417,1.66534110948661,5.79782480598656,10.6472772526931,13.8631170921456,24140.8154040883,90.2391329908351,NA,NA,6860511.41623599,1725.01201852605,7.00170552003051,6.03767932606586,-0.032518445810134,37.0639091947991,36.9765758220281,37.0108627682144,0.136931673217113,38.9867692494796,33.6747443072439,-5.18981156318469,33.5730321942936,40.0495834729034,-6.20303644877211,10306.935462307,2578.32593113128,0.322546039155272,4716.75305983708,1188.55994588462,1.68818611871196,1.59478793503139,1.81925419170873,1.62095285320804,1.81414373940243,1.69101105346377,1.68655926864624,2.66006547872254,241.283234055089,58.3354790603079,0.0387111325286506,107.938539456877,0.0700996878763545,0.639570626789094,0.0153265760186901,0.728075576303325,0.0108991049907252,0.0266410694030044,0.0846348558392123,0.253794493020503,0.414309596790365,0.20962933183382,0.374059231809873,0.237230474862197,0.278054964201173,0.271797439788876,0.142391409013355,NA,0.0382559441598711,365392891.899187,93922.3301843642,62.1959668746159,735.223144196147,610656.811211011,1527.1791361254,0.529158022692583,269507.998841643,673.322259047036,288.065742241141,NA,NA
"271",53.0313360913025,117.29947093805,11.3480029847589,74.9230984493258,29.6254866883306,13.5368381052099,2.74647423440888,4.98055430533005,24.5150240204831,19.6412698746387,24628.1140097815,89.7233507147214,NA,NA,6550122.47870033,1659.60282473313,4.59279123917463,5.18192240632209,-0.00524103331679052,38.1012837784378,37.9236482733418,38.2199394504811,0.169820751092889,39.1760692248953,34.9074239052173,-4.47479718839461,34.9060599141144,40.4503586735234,-5.84969101529748,12756.8761444397,3207.4287882053,0.397925546014272,6297.90600830627,1561.55745849184,1.65160465656222,1.58877512914928,1.76875747849526,1.61692069833834,1.76774026291235,1.65747202772335,1.64535653196166,1.80515791545833,165.480713107005,42.6398454541078,0.0459261201082933,107.951075503668,0.0724706186296162,0.629357277390383,0.0189364399918903,0.733790663615841,0.0096670086972285,0.0239401138475853,0.0784489352148979,0.244762500511247,0.420134419171102,0.22195594751956,0.357067829578815,0.270000532704562,0.278915858139028,0.252838975616091,0.132344447009323,NA,0.0373125138231185,340019285.620131,85685.2235251992,43.557790341134,686.061061796625,728299.442543883,1821.72260878078,0.634030698924426,341138.723975821,862.751644293525,215.834226151302,NA,NA
"272",56.4814327319133,116.854376665499,14.7405903439547,75.0973660934471,65.1018279811242,10.6736446436645,2.69135609914803,4.61802247660204,30.3730090643323,17.5604067737734,25905.924639005,89.734930424585,NA,NA,6793192.29703906,1692.22078319145,5.52362030873318,5.59255922905599,-0.0182374558256728,37.9896864853751,37.8806896971945,38.1426292084141,0.159467980016547,39.2103872804768,34.5512266083819,-4.85194658805443,34.5037975818623,40.6015906754208,-6.13675403871979,11619.1198920795,2961.79309780117,0.377675588054133,5534.11072552127,1413.85038872309,1.65456369432535,1.58393410989595,1.7870480954802,1.61490919631428,1.78860915657842,1.65947517026462,1.65079760498099,1.83395557835101,179.357101697727,45.5341299087351,0.0409702719706759,107.955856638936,0.0676875381539838,0.629205739951849,0.0175322027526035,0.733480015091267,0.00997340426030412,0.0246378989403886,0.0784418272025235,0.244223198053518,0.421141635308234,0.222735131719919,0.362733157056207,0.260372325248973,0.282404948231591,0.257661126876501,0.134363810395961,NA,0.0373330332110195,355205649.034188,89179.2086512281,51.29176378961,697.692903149535,684960.411831527,1722.4662268158,0.59771622896296,310003.489336783,785.285957950847,225.222542917967,NA,NA
"273",55.862815878687,122.323657199193,13.5738881411075,80.3494295431695,25.3220467326934,13.4011745165122,5.65966712282723,2.65961989556102,87.4471704343396,23.6569479817705,31278.3696602151,91.0168136625972,NA,NA,7904701.9373621,1980.91384110181,7.00223929821761,6.21995734718976,-0.0447234360763237,36.7391500193193,36.7222603121761,36.8293700487054,0.145426725742545,39.0552645213291,33.008895078991,-5.71224677298518,32.9085646965358,40.4793568691199,-7.10623439027886,11285.7607200607,2878.13676634506,0.377731312078833,5064.06154788959,1261.99699682366,1.70119892090271,1.58520596217867,1.84409048316464,1.61766446828625,1.84491163916478,1.70382418744983,1.69822601549538,2.40936350311281,189.22724166817,47.4331353049799,0.0503164908200383,107.948237889,0.0618802801003594,0.639643231358039,0.0138643488289774,0.730132370069207,0.00896602333215379,0.0245248808111432,0.0823753610116664,0.251319596338015,0.420903421214243,0.213847313738769,0.378743352988575,0.230182189834186,0.290030195843387,0.27033742643003,0.138717204394965,NA,0.0380060055281934,403040404.917838,102869.833491051,59.2116905257788,748.385028407066,664390.445723938,1694.353515822,0.572095695576997,285959.350799615,724.565141444926,248.580246514071,NA,NA
"274",71.2041622134191,125.270676803468,29.7750981029994,83.3934681217282,83.0015912971337,8.38462915859675,1.24844490152996,6.73704148506093,0.346464953494296,13.3416898741848,20599.0523554971,92.2672835831213,NA,NA,10478558.4626195,2613.49820013644,9.51301492443975,8.27128444941016,-0.0265799803492235,37.3163016970914,37.2464197728256,37.397984027099,0.148095327450143,39.0529649820925,33.2239370585787,-6.01519019810681,33.2208850526326,41.0646249310822,-7.78184981126106,12537.1282977622,3106.52778613029,0.408847022738475,5796.54341375936,1446.47630324449,1.68965346910735,1.57376484808119,1.84693798026241,1.6179686144249,1.84625812509463,1.68891735410203,1.68473780257328,1.29509094140318,223.153558967013,54.3682589547159,0.0395057057542955,107.966690991765,0.0535455512784338,0.633001961024636,0.012002709846364,0.739597501128265,0.00959798466373756,0.0212630148411233,0.072400774304223,0.230310487379055,0.448618738679865,0.229140768790679,0.387034247235213,0.200628004207182,0.289120648707244,0.29660447879167,0.144778517025114,NA,0.0367108049184946,565584615.130961,140072.510017661,80.2133125851241,878.948877401743,745836.074469517,1839.48851589535,0.650446389813078,328876.735615049,822.911311432917,230.951292761551,NA,NA
