g2pname,genotype,environment,datatype,DASanthesis_BLUP,DASmaturity_BLUP,DATanthesis_BLUP,DATmaturity_BLUP,fruitno_BLUP,fruitlength_BLUP,fruitwidth_BLUP,fruitshapeindex_BLUP,fruitweight_BLUP,yield_BLUP,pollenconcentration_BLUP,pollenactivity_BLUP,leaftemp_BLUP,leafminushobotemp_BLUP,growthrateplot_BLUP,growthrateplant_BLUP,height_BLUP,heightmax_BLUP,leafangledaily_BLUP,leafanglemean_BLUP,leafanglenoon_BLUP,leafanglemidnight_BLUP,leafanglemidnightminusnoon_BLUP,leafanglebright_BLUP,leafanglelow_BLUP,leafanglelowminusbright_BLUP,leafanglecold_BLUP,leafangleHot_BLUP,leafanglecoldminushot_BLUP,leafareadaily_BLUP,leafareadailyplant_BLUP,leafareaindex_BLUP,leafareaprojecteddaily_BLUP,leafareaprojectedplant_BLUP,leafinclinationmean_BLUP,leafinclinationhot_BLUP,leafinclinationcold_BLUP,leafinclinationbright_BLUP,leafinclinationdark_BLUP,leafinclinationnoon_BLUP,leafinclinationmidnight_BLUP,lightpendaily_BLUP,lightpenmeanplot_BLUP,lightpenmeanplant_BLUP,huedaily_BLUP,huemean_BLUP,huebin0_BLUP,huebin1_BLUP,huebin5_BLUP,ndvimean_BLUP,ndvibin0_BLUP,ndvibin1_BLUP,ndvibin2_BLUP,ndvibin3_BLUP,ndvibin4_BLUP,ndvibin5_BLUP,green_BLUP,greenb0_BLUP,greenb1_BLUP,greenb2_BLUP,greenb3_BLUP,npcimean_BLUP,psrimean_BLUP,biomassfinalplot_BLUP,biomassfinalplant_BLUP,heightfinal_BLUP,heighmaxfinal_BLUP,leafareafinalplot_BLUP,leafareafinalplant_BLUP,leafareaindexfinal_BLUP,leafareafinalprojectedplot_BLUP,leafareafinalprojectedplant_BLUP,lightpenetrationfinal_BLUP,biomassAUC_BLUP,biomassAUCperplant_BLUP
GPC124980,PPC291,control,estimateBLUP,76.74609279,125.4235499,34.74609279,83.42354985,82.79413654,7.377071646,1.093719941,6.670164657,4.086906049,9.098794065,21156.68514,94.44811431,26.55655095,-0.15699888,11141958.28,2754.012696,10.60660709,9.307869688,-0.046279702,36.92182802,36.90832163,37.02232044,0.12550656,40.01738848,31.98271056,-7.42586147,31.98271056,41.7490399,-9.152853972,11628.09208,2903.007245,0.407190115,5256.502313,1313.839523,1.710277746,1.569745432,1.910651178,1.581566043,1.910651178,1.70741795,1.700810278,0.549222225,241.7589633,58.24388359,0.017391264,107.9849195,0.04643859,0.634771892,0.010091132,0.74339511,0.008500126,0.018805676,0.066152371,0.223930706,0.467990315,0.226426408,0.392128762,0.184059176,0.293152575,0.321395162,0.146641353,0.156260918,0.035866303,583644428.5,144366.3416,87.05760559,945.6860405,674482.4464,1685.401527,0.586456183,284885.0128,713.2235849,216.7546684,6.53E+11,1.64E+11
GPC125920,PPC292,control,estimateBLUP,69.18638169,123.2068099,27.18638169,81.20680987,88.63948624,9.693058493,1.258419853,7.573776073,6.7422311,16.08031192,22014.76739,93.36563951,26.55655095,-0.15699888,11262148.92,2783.218989,9.243242833,8.466003372,-0.002213847,36.35721268,36.37273848,36.49851648,0.13297509,38.30385987,33.55996503,-4.792892003,33.55996503,41.24504425,-7.502737928,13403.96694,3329.542661,0.432460878,6143.016163,1529.618167,1.722670899,1.567503182,1.827184348,1.653209109,1.827184348,1.72288407,1.716295585,2.326026423,253.3381468,60.67209138,0.049532111,107.9970718,0.051462269,0.604076355,0.014154771,0.745175248,0.008591003,0.020651239,0.069946244,0.222020957,0.435052073,0.249538793,0.374473785,0.225089987,0.286794757,0.287406713,0.13996311,0.156260918,0.035117673,636355609.3,157182.4913,77.32304113,902.5168348,812549.0419,2015.564551,0.706664047,351442.8135,874.418255,305.8907039,6.53E+11,1.64E+11
GPC127520,PPC293,control,estimateBLUP,60.17288,125.4235499,18.17288,83.42354985,24.46066063,15.89076977,2.773659035,5.766553242,29.39444851,19.8149419,45005.02243,88.5139098,26.55655095,-0.15699888,8928738.77,2216.301311,8.722407051,8.51973952,-0.047361072,36.17628622,36.22950113,36.23349663,0.06015692,39.76386773,33.43571186,-6.119893317,33.43571186,41.26234882,-7.613003596,10821.42882,2709.247151,0.329106299,4828.63063,1209.691282,1.744358916,1.556291931,1.829639254,1.588079049,1.829639254,1.741443414,1.741072076,1.56453891,201.4691448,49.78686218,0.073637747,107.9756983,0.065721618,0.60456476,0.01821841,0.747289163,0.009154438,0.020761093,0.067050437,0.217123679,0.435175994,0.257168321,0.344268492,0.285992079,0.291665921,0.2431582,0.121732456,0.156260918,0.035866303,498147619.5,123578.7875,75.95021793,860.2468157,661182.9963,1653.605252,0.57516906,278619.3192,698.0658866,242.2267353,6.53E+11,1.64E+11
GPC127670,PPC294,control,estimateBLUP,70.34941417,125.4235499,28.34941417,83.42354985,21.77802789,16.5105409,2.740719053,6.056999768,30.64015656,18.53887243,46922.09358,84.41042463,26.55655095,-0.15699888,7887049.628,1963.239644,8.192380049,7.368250638,-0.047901758,34.70703856,34.7005981,34.8023894,0.11803803,39.71406902,31.44005388,-7.584566238,31.44005388,40.11808403,-8.112100828,10285.47019,2580.494158,0.308662536,4519.011833,1134.35366,1.800128103,1.587683434,1.94011006,1.598934059,1.94011006,1.803307893,1.799916244,1.446249587,220.0935273,53.69331097,0.083787488,107.9463018,0.073421667,0.626069397,0.018966119,0.73569972,0.010135907,0.023661263,0.075774512,0.236618247,0.431607065,0.225632937,0.341992529,0.28615311,0.294228027,0.243062905,0.120244885,0.156260918,0.037363565,413356804.1,102962.8876,70.14691988,812.0482147,596164.8393,1498.105809,0.518733443,253067.8841,636.169608,232.1635119,6.53E+11,1.64E+11
GPC128500,PPC295,control,estimateBLUP,68.60486545,124.6754001,26.60486545,82.67540011,47.67338118,6.659441919,2.180739355,3.055718994,12.21679015,15.99807633,29551.89494,92.60445703,26.55655095,-0.15699888,7754641.745,1931.026382,6.240777737,5.177862899,-0.008431728,38.87770547,38.84825358,38.92734552,0.103100969,39.19570963,33.98090432,-5.230764195,33.98090432,42.72458512,-8.500932393,12762.10646,3175.373564,0.388166058,6272.369979,1561.094844,1.620427389,1.522658179,1.805090186,1.620644079,1.805090186,1.623900904,1.62028668,2.008123869,182.4722194,45.79700167,0.073637747,107.9353904,0.071381483,0.63999635,0.016527936,0.722478483,0.009736049,0.026627346,0.087595998,0.264111072,0.417950954,0.191859559,0.346934622,0.277457412,0.302515331,0.251099426,0.116541784,0.156260918,0.038452483,421564919.2,104958.5873,55.32666949,696.2401316,751346.1589,1869.188318,0.653614567,359547.1094,894.0473338,240.8685242,6.53E+11,1.64E+11
GPC128790,PPC296,control,estimateBLUP,63.95273555,120.9900699,21.95273555,78.99006989,198.517139,6.626822386,0.896080048,7.476960564,2.906761582,14.12650778,20747.92006,85.22120257,26.55655095,-0.15699888,8839461.53,2194.597552,6.531833027,6.398441114,0.05428777,37.91380414,37.89541381,37.9950992,0.114303765,39.5918358,37.30784622,-3.054787976,37.30784622,40.47066467,-3.949088254,12491.74429,3110.421298,0.395548528,6199.40418,1543.292461,1.657606847,1.619074936,1.667615406,1.598934059,1.667615406,1.657926367,1.654354356,1.019915154,200.881355,49.6617446,0.059681853,107.994376,0.051593893,0.607953997,0.012984443,0.742950075,0.008918159,0.021068687,0.068864898,0.225481195,0.445882781,0.237392584,0.370669674,0.232143164,0.295936097,0.277686652,0.135120592,0.156260918,0.035253787,507518101.8,125857.1158,64.06281709,744.262745,782323.3064,1943.280658,0.680139307,370505.1275,920.5662755,217.9907652,6.53E+11,1.64E+11
GPC128800,PPC297,control,estimateBLUP,48.83331335,118.7733299,6.833313355,76.77332991,93.65442,6.724680985,1.488999728,4.798398153,6.119377075,13.25310912,26342.7183,89.30743715,26.55655095,-0.15699888,5407899.839,1360.923105,3.219930201,3.345716146,-0.00248419,39.7854572,39.86648432,39.85335608,0.047086992,39.31115212,36.1566026,-3.685782837,36.1566026,42.77000962,-6.883702601,12490.34596,3110.092287,0.358352238,6289.595561,1565.280268,1.577051355,1.504720177,1.714258635,1.596763057,1.714258635,1.577502544,1.57692782,0.578794556,149.7933131,38.93870486,0.027329552,107.9642093,0.074715977,0.599621506,0.021274266,0.74315405,0.009063562,0.021639933,0.070532736,0.229943579,0.42518795,0.246975271,0.341277226,0.303802157,0.274521955,0.231564009,0.123125075,0.156260918,0.03620659,292962641.1,73690.42008,39.50800223,518.2919306,726463.8048,1809.698513,0.631604676,348870.2336,868.1751955,167.5525337,6.53E+11,1.64E+11
GPC130280,PPC298,control,estimateBLUP,55.81150821,112.9543875,13.81150821,70.95438746,135.4736477,7.148734915,1.258419853,5.702009569,4.972014399,15.1615419,31365.15274,91.04327822,26.55655095,-0.15699888,7446032.786,1856.090357,5.330846988,5.180421764,0.006166776,38.35676203,38.27530418,38.42224885,0.140443621,38.93313458,35.91570361,-3.550023337,35.91570361,41.29479489,-5.750094159,12502.81675,3113.108222,0.388166058,6049.821346,1506.913678,1.63591883,1.569745432,1.716713542,1.616302075,1.716713542,1.639367023,1.635771987,1.791260111,211.4864079,51.88605708,0.028809723,107.9624763,0.070087173,0.612127643,0.019258701,0.731063942,0.010553939,0.025243174,0.079531728,0.249154522,0.417653544,0.217515119,0.343358107,0.284607209,0.287205959,0.249320592,0.120308186,0.156260918,0.03671702,398411139.4,99328.98016,54.07864841,649.0122121,724972.3805,1806.135602,0.630475964,347123.4004,863.9569121,256.835605,6.53E+11,1.64E+11
GPC000160,PPC3,control,estimateBLUP,49.99634583,123.2068099,7.996345831,81.20680987,6.428308267,9.073287365,6.957036778,1.377583508,147.0155137,21.34338955,41450.5737,93.32898199,26.55655095,-0.15699888,3827461.634,976.9243538,3.860251839,4.016138561,-0.043305932,39.53902288,39.36203974,39.58833622,0.1908562,40.85264879,35.71537708,-5.32063316,35.71537708,42.82841255,-7.270599681,8911.628519,2250.550904,0.330526005,4210.217508,1059.188043,1.589444508,1.560776432,1.724078262,1.551172015,1.724078262,1.596061888,1.589316066,2.0943765,142.7012012,37.45119589,0.017179811,107.9264902,0.07995903,0.635896705,0.0178283,0.728319562,0.008645529,0.023859002,0.083380585,0.261577345,0.411531839,0.20833934,0.346772053,0.296845598,0.286604971,0.233342844,0.120118283,0.156260918,0.038452483,208022226.6,53038.08261,39.10239538,589.811637,533055.0247,1347.194963,0.463426538,252342.7611,634.397929,225.7188622,6.53E+11,1.64E+11
GPC003240,PPC30,control,estimateBLUP,57.84681505,123.2068099,15.84681505,81.20680987,8.549761486,14.32503219,6.067657258,2.442554105,103.2846049,21.5844249,40711.36701,93.80552967,26.55655095,-0.15699888,6567208.551,1642.536082,7.59188703,7.227513108,-0.046820387,35.13439934,35.01198364,35.22953906,0.187121935,38.08202922,31.17126132,-6.406709163,31.17126132,39.38912895,-7.663300216,9579.62914,2410.998629,0.319168359,3827.750693,966.0480381,1.781538374,1.632528437,1.949929687,1.653209109,1.949929687,1.784748549,1.775139752,3.385701604,205.9424185,50.72292702,0.050589376,107.9673329,0.065041557,0.611876041,0.017568227,0.735996409,0.008736406,0.022277091,0.076269364,0.243463091,0.425609281,0.22549052,0.348397741,0.279518615,0.297707429,0.246938224,0.119232071,0.156260918,0.036546877,337653392.1,84556.44667,60.66195963,774.6591014,566593.4185,1427.414429,0.492773059,218627.9799,552.7882059,293.2556017,6.53E+11,1.64E+11
