"","DASanthesis_BLUP_GBLUPKCV","DASmaturity_BLUP_GBLUPKCV","DATanthesis_BLUP_GBLUPKCV","DATmaturity_BLUP_GBLUPKCV","fruitno_BLUP_GBLUPKCV","fruitlength_BLUP_GBLUPKCV","fruitwidth_BLUP_GBLUPKCV","fruitshapeindex_BLUP_GBLUPKCV","fruitweight_BLUP_GBLUPKCV","yield_BLUP_GBLUPKCV","pollenconcentration_BLUP_GBLUPKCV","pollenactivity_BLUP_GBLUPKCV","leaftemp_BLUP_GBLUPKCV","leafminushobotemp_BLUP_GBLUPKCV","growthrateplot_BLUP_GBLUPKCV","growthrateplant_BLUP_GBLUPKCV","height_BLUP_GBLUPKCV","heightmax_BLUP_GBLUPKCV","leafangledaily_BLUP_GBLUPKCV","leafanglemean_BLUP_GBLUPKCV","leafanglenoon_BLUP_GBLUPKCV","leafanglemidnight_BLUP_GBLUPKCV","leafanglemidnightminusnoon_BLUP_GBLUPKCV","leafanglebright_BLUP_GBLUPKCV","leafanglelow_BLUP_GBLUPKCV","leafanglelowminusbright_BLUP_GBLUPKCV","leafanglecold_BLUP_GBLUPKCV","leafangleHot_BLUP_GBLUPKCV","leafanglecoldminushot_BLUP_GBLUPKCV","leafareadaily_BLUP_GBLUPKCV","leafareadailyplant_BLUP_GBLUPKCV","leafareaindex_BLUP_GBLUPKCV","leafareaprojecteddaily_BLUP_GBLUPKCV","leafareaprojectedplant_BLUP_GBLUPKCV","leafinclinationmean_BLUP_GBLUPKCV","leafinclinationhot_BLUP_GBLUPKCV","leafinclinationcold_BLUP_GBLUPKCV","leafinclinationbright_BLUP_GBLUPKCV","leafinclinationdark_BLUP_GBLUPKCV","leafinclinationnoon_BLUP_GBLUPKCV","leafinclinationmidnight_BLUP_GBLUPKCV","lightpendaily_BLUP_GBLUPKCV","lightpenmeanplot_BLUP_GBLUPKCV","lightpenmeanplant_BLUP_GBLUPKCV","huedaily_BLUP_GBLUPKCV","huemean_BLUP_GBLUPKCV","huebin0_BLUP_GBLUPKCV","huebin1_BLUP_GBLUPKCV","huebin5_BLUP_GBLUPKCV","ndvimean_BLUP_GBLUPKCV","ndvibin0_BLUP_GBLUPKCV","ndvibin1_BLUP_GBLUPKCV","ndvibin2_BLUP_GBLUPKCV","ndvibin3_BLUP_GBLUPKCV","ndvibin4_BLUP_GBLUPKCV","ndvibin5_BLUP_GBLUPKCV","green_BLUP_GBLUPKCV","greenb0_BLUP_GBLUPKCV","greenb1_BLUP_GBLUPKCV","greenb2_BLUP_GBLUPKCV","greenb3_BLUP_GBLUPKCV","npcimean_BLUP_GBLUPKCV","psrimean_BLUP_GBLUPKCV","biomassfinalplot_BLUP_GBLUPKCV","biomassfinalplant_BLUP_GBLUPKCV","heightfinal_BLUP_GBLUPKCV","heighmaxfinal_BLUP_GBLUPKCV","leafareafinalplot_BLUP_GBLUPKCV","leafareafinalplant_BLUP_GBLUPKCV","leafareaindexfinal_BLUP_GBLUPKCV","leafareafinalprojectedplot_BLUP_GBLUPKCV","leafareafinalprojectedplant_BLUP_GBLUPKCV","lightpenetrationfinal_BLUP_GBLUPKCV","biomassAUC_BLUP_GBLUPKCV","biomassAUCperplant_BLUP_GBLUPKCV"
"GPC033480",1.0790437470741,4.79848697753781,1.0790437466737,4.7984869491471,-67.0666846274522,-0.512010090612224,2.98365222997511,-2.16228268149389,57.6690017103877,3.85166867443147,3913.40912072515,0.974237705828266,2.07169117967276e-15,-8.11072419227222e-18,238375.070387712,50.1249787291729,0.794448269079248,0.510384294162686,-0.00956457499314402,-0.111859876216301,-0.153733908266822,-0.100520816796074,0.0326290335291862,0.212556687906019,-0.62631296645451,-0.749633359480847,-0.62631296645451,0.0648465902626118,-0.504166517830355,-177.384876017761,-58.9120682489802,0.0102817279359171,-203.19845240327,-60.3987461891604,0.00781126471727898,0.00037481912050255,0.0264809954177668,-0.00851829721501543,0.0264809954177668,0.0102763949639289,0.00807690851183216,0.43806540983634,11.1637239451333,2.39657325048381,0.0108626089221632,-0.00143781864719754,-0.00219089454226641,0.00584689557246756,0.00260600191259983,-0.00168814924108441,-0.000832248620870876,-0.000684425693041448,0.0012650517995277,0.00590165154300532,0.00271038005842912,-0.00817462868911973,-0.00783410944484207,0.00547313530193218,0.00851983958262331,-0.000596312825511127,-0.00414823486096466,-8.91188695759992e-18,0.000184829021522148,3372179.85523538,352.492399168405,3.01250907997935,32.7817530906902,-8849.03555320504,-28.0781663026372,-0.00763428084832123,-10187.8620841459,-29.5946824740885,13.0311155376951,-9.98420237848367e-07,-8.96781196618791e-06
"GPC007370",-2.15642525335906,-1.34563683665499,-2.15642525311739,-1.34563683698057,-10.9314944779298,-2.97453648955712,0.602237716561207,-1.75096391599664,7.58665739877587,-0.681914994968984,6.57991984096245,0.155540084514311,1.51539168705859e-15,-6.03091554661679e-18,-941672.784605777,-237.775778694009,-0.969578007873611,-0.732699948894811,-0.00163858656938327,0.733518202088763,0.717008384689284,0.729487412870098,0.00378466024661658,0.0883819008706267,0.635527714519526,0.398523015550976,0.635527714519526,0.385370163418239,-0.159787393951841,-510.598554685221,-134.474037314524,-0.00533778303650143,-187.413715169496,-46.2595621555034,-0.026374260141495,-0.0132439683206334,-0.0273960629479979,-0.00330232286793577,-0.0273960629479979,-0.0265392880999375,-0.0263489777552094,0.0557814588722038,-0.762971954973558,-0.33309614338311,-0.0141365240034443,-0.0107364940024086,0.00445417239975456,0.00590423892055113,0.00265990584053447,-0.00428116515674113,0.00128529446310299,0.00133901225599082,0.00212281938678996,0.00704413076685882,-0.0032557789247706,-0.010125837683671,-0.00546036725973581,0.00994459454347589,-0.00871410526432946,-0.0028667401324804,0.00185264101846919,-6.72519234238874e-18,0.000583643504272821,-44267175.9544267,-11058.0052117361,-5.37400030928201,-36.0251908493078,-22921.4465615592,-58.6798424249696,-0.0198969660321827,-8495.45268239123,-20.7154669993,3.88279411845444,-2.45225457088746e-07,-6.48525966506809e-06
"GPC050550",-4.86069320567888,-2.92194756901332,-4.86069320543191,-2.92194756618387,-24.2441228568334,3.49873118559437,-0.0388031735551779,0.516203039159253,-0.26418536903899,1.11018509540989,-496.480282799408,0.313905605221917,2.02711103822809e-15,-8.01558033636783e-18,286325.581157635,63.6396756845822,0.184888897737965,0.0745464240995527,-0.00759450457310958,0.178914362217836,0.124242093008584,0.182261316089173,0.0345784717447634,0.424414220413479,-0.381086032887752,-0.912688440896789,-0.381086032887752,-0.109902304391253,-0.108601838523768,170.07354389121,23.5611437633545,0.00723086070701899,-10.0033489427738,-13.5014698201497,-0.0053330264272516,-6.66001117046844e-05,0.0212935358866434,-0.0180879737895759,0.0212935358866434,-0.00395628696549944,-0.00614745052827539,0.0651621473423843,1.73190598171888,0.262169908135285,0.00510766650936254,-0.00115160349887748,-0.0022333349986269,0.00494521464190694,-0.00227275067017201,0.000498519340402982,-0.000575176698923554,-0.000516255479623163,1.24626691034699e-05,0.000408985001995022,2.93480141159495e-05,0.000588761745114651,0.00607620026200015,-0.0115427149591206,0.00561603386192769,0.00262668096285961,0.00128896737970857,-8.73756538971694e-18,0.0001095904866937,21243965.499587,4921.55962676153,1.86639145302364,26.9082781003256,20402.3964642242,42.4037515731348,0.0177584874614644,5117.60623792146,7.81554711480101,-0.119356657725761,-3.63247858045972e-07,-8.70017256826373e-06
"GPC027460",7.2452657848028,5.70651374883324,7.24526578417228,5.70651373574503,-16.1818980475727,-1.18400070684334,2.94010531378644,-1.89157094535877,78.2431198849411,3.44757946386286,1743.0038747302,-1.7819118200641,2.36939861633463e-15,-9.35881077223792e-18,-1087998.63066587,-274.095201867827,-0.612571502122386,-0.726273525079636,-0.00386065036630538,0.970296276747066,0.944302108013192,0.960070095971073,0.00777673381129355,0.650573602408374,0.312720089884084,-0.530948324118972,0.312720089884084,0.403753798810537,-0.242378475811235,-380.307084882881,-116.973539548795,0.0040490539156703,-105.218724617608,-36.8491257382624,-0.0364901469910622,-0.0104698715775335,-0.0159643786921527,-0.0248262179817056,-0.0159643786921527,-0.0363176558476305,-0.0362737004657534,0.00930032118014369,-32.0918924168107,-6.96655209327089,-0.0099743498405644,-0.00780470681890095,0.00195855897959837,0.00489095420866695,-0.000506207253256725,-0.00141558982107886,-0.00128122580477811,-0.0011046642711408,0.00130437542436172,0.00811581171667723,-0.000979053989958054,-0.00703392836638415,-0.00261755133918418,0.00772992218464742,0.00678237679541683,-0.00794030788088625,-0.00604549462386635,-1.00097876470351e-17,0.000345929655583332,-56307417.117261,-14178.236556012,-5.94606420382202,-56.6068612878645,-14098.8391851346,-46.3008982702041,-0.0121983097066152,-843.365116888664,-7.71141840718095,-19.8981756730117,-2.16601163614942e-07,-1.01585792483529e-05
"GPC006960",6.70687225067866,4.055614547993,6.70687225045496,4.05561454242266,-41.9760201929945,0.0154005380519098,2.59288540311004,-1.70105390711467,69.5539724148102,3.90171975990633,1983.26365098494,-1.32719686990387,2.10324781343832e-15,-8.25974172673942e-18,-734405.064542018,-186.704366416595,-0.578809820475536,-0.528728068889246,-0.00492699214440368,0.731556397381088,0.707715089957171,0.719234000210202,0.00576468503300305,0.539351627925312,-0.0215622606149674,-0.484174984215136,-0.0215622606149674,0.311329307237837,-0.422210071723425,-279.964766539089,-75.0651594555186,0.00486702819148921,-68.4746140246061,-19.3356578507325,-0.026882325546146,-0.00619130095964237,-0.000582346078796302,-0.0201702327792633,-0.000582346078796302,-0.0261121553360614,-0.0263771942660397,0.0334345779709797,-27.5202320551924,-6.00027140068742,-0.00555307237075507,-0.00676461559022565,0.000947318621323602,0.00453922374957012,-0.000617991062545324,-0.000291494969777653,-0.00114763847184856,-0.00125945061103233,0.00074102169171506,0.00479132700665215,0.00105442451583161,-0.00328199344300943,-0.00224520034338329,0.00693088587771828,0.0070831812174202,-0.00786113082022451,-0.00543747228914845,-8.90156962841668e-18,0.000274055544045854,-41111421.7975979,-10449.8732149838,-5.63405399560589,-39.8352595664752,-12150.0091624927,-34.5968576720903,-0.0105204283721157,-1207.71830502191,-4.76073980175134,-17.4107083060246,-5.99481807734952e-07,-9.06547853017432e-06
"GPC022290",0.238003952355986,0.91646022981847,0.238003952416343,0.916460229467017,-49.5191019500591,2.89083683822314,2.94093512946789,-2.26756426071771,61.0736771426298,5.86297198593633,4554.58084091143,0.447187677443823,1.50054990656523e-15,-5.88774851031923e-18,235150.844135417,47.9361440612579,0.324107469000785,0.0570426074701497,-0.0114539373615231,-0.183071936128535,-0.20706535694597,-0.176899282872353,0.0172243163952402,-0.014467220974124,-0.47541998395543,-0.314723487337026,-0.47541998395543,-0.102154682904986,-0.307022220840214,-19.5375450975677,-9.51920628011241,0.00688684616026283,-142.168626110406,-40.4975716142856,0.00808993571494944,0.00110958999838738,0.0198651646010874,-0.001779861148823,0.0198651646010874,0.00964118576862567,0.007963368833929,0.241097831520729,3.48086873269959,0.593984666214049,-0.00149011162202153,-0.00707490784076388,0.00293540572203414,0.00417336141850797,0.00209011272490066,-0.00170763640100447,-0.000623453284872021,-0.000606246047297763,0.00147694001073207,0.00587163670157097,0.000460681944310933,-0.00642127862642826,-0.0158561284560431,0.0213337469178711,0.0106647860242683,-0.0120202075086481,-0.0105822165456184,-6.38458728698644e-18,0.000341353040964056,14150253.9049063,2915.64021254619,0.151399742121677,6.50698221284906,8556.86003910991,19.3449671829159,0.00752444989832688,-3963.3249825999,-11.9525288435152,3.67956401806289,-5.05328014029919e-07,-6.47615735714962e-06
"GPC043060",1.59581381191636,2.89628426090598,1.59581381123672,2.89628425581229,-34.18631068515,3.47234320557874,2.36463042621671,-1.32010944963311,58.6093654732515,5.76933916022791,2490.35512950729,0.0901664594301969,1.56382883313211e-15,-6.12609060128181e-18,1999823.60787626,524.257662911506,2.0051407106511,1.18381678783255,-0.0134371623774669,-0.464930019624809,-0.470955449709349,-0.455169620014494,0.010096595774297,0.0872241435620603,-0.899746704585667,-0.824485916876154,-0.899746704585667,-0.237435335831584,-0.393412367120626,246.065284736877,107.915270405996,0.0143197914591553,-15.8656953539029,17.5663959984476,0.0210278383767953,0.00374185565054473,0.0414224094447417,-0.00374512690166137,0.0414224094447417,0.0218485524153299,0.0202705811937842,0.235443849520033,8.53858601483742,2.1028915574845,0.0165067515323627,0.00127441010141137,-0.0108647969595268,0.00680602711878823,-0.00493322935434908,-0.000915337387594153,-0.000835383839243269,-0.00096909741012227,0.00045603369693446,0.00250928865845475,0.0113602724842824,-0.00775515451436865,0.0107050028188533,-0.0321720325449156,0.0225888687424389,0.0178552930096853,-0.00191215131216615,-6.71611405564053e-18,9.78505138304462e-05,108794889.118569,28301.4414006059,13.6949522437515,81.1382633822368,20502.1603979965,73.3933763259032,0.0178907175876807,-2144.83727972891,5.47208809414297,10.2479222569782,-6.9807043271538e-07,-6.76510176978779e-06
"GPC123700",-0.607111828722972,-1.59587201696567,-0.607111828026327,-1.59587200207489,-6.17208381681716,3.15244020656266,-0.99608268921579,1.77920196199584,-17.9367657786556,1.29365433856669,-3760.93413669341,-0.284365880436387,7.39655774128972e-16,-3.03496214190841e-18,412427.466976903,108.83441150361,-0.601953882585441,0.176958060317821,0.0226715587901356,0.576702111532167,0.537338566762633,0.59252733245194,0.0315189851115922,-0.269687620180378,0.622003682491956,0.806402452446934,0.622003682491956,0.00254237110782402,0.396870279312185,1392.95472732686,369.1861333474,0.0344539487685579,900.686185500526,237.588681200909,-0.0214213907928879,-0.00155763510116218,-0.0291793291735891,0.0141182950004885,-0.0291793291735891,-0.0196023147274597,-0.0209544886939152,-0.281001793873312,-7.26544700339555,-1.22777899461739,-0.00289868172077415,0.0104172629523193,-0.00180004242661926,-0.00496403574097227,-0.00102453293428669,0.00142355026666896,0.000197633580806144,-0.000390557944321046,-0.00211063540304039,-0.00336329564655878,0.00413730886389335,0.00166285450524553,0.00531961513611203,-0.0051570409358151,-0.00372939298526567,0.00373442614905371,0.00350797342085015,-3.42235576595251e-18,-0.000654826792768788,8952696.6520392,2676.30245114268,-4.13752811556525,7.77217681691599,60428.2044274656,159.053534446098,0.0525272114020015,38059.8308958984,100.960007034938,-8.20337999889249,3.80848813266735e-07,-3.08990182421324e-06
"GPC016300",-2.13565782639024,-3.68965549119545,-2.13565782651505,-3.68965547306607,54.5590427940008,-0.820098684962989,-0.954808793627638,0.734775878287406,-23.5331296342565,0.618892772321718,-2613.19516548707,-0.389740069118006,2.00317768858016e-15,-8.01352409947092e-18,106161.995912176,47.9607531579512,-0.315729589381934,-0.0884012221178606,0.0226249341264648,1.14248361844355,1.12412347784196,1.15295918173716,0.0152170111238355,-0.0237853252778653,1.3213186964202,1.10307877414894,1.3213186964202,0.244265298628564,0.643552980274194,819.180590040952,221.673745672311,0.0249170975561319,650.729398373298,173.06843027636,-0.0428607075912477,-0.0101848751431972,-0.0580891147563895,0.000835595397695412,-0.0580891147563895,-0.042872860958058,-0.0434351210461773,-0.222668288778682,-7.21871846565767,-1.34080453058966,0.00905683665373495,0.0126957518963631,-0.00645342674157769,-0.0102254371039237,-0.00287067654213287,0.00368328193042075,-0.00066856724042977,-0.0017871896197352,-0.00379587915977421,-0.00500480368390914,0.0120718374060387,0.00461894246551367,0.00877019552230036,-0.0121704862627464,-0.00039080796106883,0.00605952561544734,0.00203246477463363,-8.82282889272125e-18,-0.0008134691782819,-7028830.36603528,-641.191242374717,-1.88643259673233,-29.9420672389831,36412.4098724769,98.6483691739301,0.0316908262364844,30060.3356091658,80.0018827431072,-15.6046784384889,9.34127911581102e-08,-8.52590076834266e-06
"GPC070980",-5.06249884105457,-2.4069220938953,-5.06249883998633,-2.40692210761824,-30.3852645721189,0.974004223786422,-0.377284663863542,-0.137805804951786,-14.4186490133911,1.01020968269886,793.222467830354,1.90467428290753,1.79177559193162e-15,-7.08602047920514e-18,1676974.73465963,432.195594771374,1.82018231709119,1.24953503488291,-0.0159564259733488,-0.686778113621092,-0.719920939673699,-0.674910934457295,0.0294666301575552,0.163950385050485,-2.11102283640831,-2.18804710154282,-2.11102283640831,-0.514680706489199,-0.756666178422757,71.1697774764915,27.6777271498791,0.0106427129933313,-198.574473447605,-46.770640453264,0.0311697817907612,0.0143288315850524,0.0945949963142826,-0.00476297439473258,0.0945949963142826,0.0328252501354978,0.0300584677217925,0.165343537873365,16.4183740351776,3.70583329965338,0.020380352084441,-0.000745473475280381,-0.00714228847037309,0.00894496812985248,-0.00592376182099654,0.000888521175983358,-0.000534475310622652,-0.000672992101082449,-0.000286013174537076,-0.00236292743041902,0.00684238804774075,0.000333157611147948,0.0195397930651362,-0.0389969992429408,0.0116445377529489,0.0189832388364161,0.00499691831157895,-7.69283575278677e-18,0.000107006833176343,92543590.9233302,23664.3690626165,14.9771957283158,95.2166133615377,14227.8760432251,41.6180711154744,0.0123468246071643,-10217.2299948087,-23.6480610541792,16.8099202468495,-2.60284636560381e-07,-7.68662890856443e-06
