"","DASanthesis_BLUP_RRBLUP","DASmaturity_BLUP_RRBLUP","DATanthesis_BLUP_RRBLUP","DATmaturity_BLUP_RRBLUP","fruitno_BLUP_RRBLUP","fruitlength_BLUP_RRBLUP","fruitwidth_BLUP_RRBLUP","fruitshapeindex_BLUP_RRBLUP","fruitweight_BLUP_RRBLUP","yield_BLUP_RRBLUP","pollenconcentration_BLUP_RRBLUP","pollenactivity_BLUP_RRBLUP","leaftemp_BLUP_RRBLUP","leafminushobotemp_BLUP_RRBLUP","growthrateplot_BLUP_RRBLUP","growthrateplant_BLUP_RRBLUP","height_BLUP_RRBLUP","heightmax_BLUP_RRBLUP","leafangledaily_BLUP_RRBLUP","leafanglemean_BLUP_RRBLUP","leafanglenoon_BLUP_RRBLUP","leafanglemidnight_BLUP_RRBLUP","leafanglemidnightminusnoon_BLUP_RRBLUP","leafanglebright_BLUP_RRBLUP","leafanglelow_BLUP_RRBLUP","leafanglelowminusbright_BLUP_RRBLUP","leafanglecold_BLUP_RRBLUP","leafangleHot_BLUP_RRBLUP","leafanglecoldminushot_BLUP_RRBLUP","leafareadaily_BLUP_RRBLUP","leafareadailyplant_BLUP_RRBLUP","leafareaindex_BLUP_RRBLUP","leafareaprojecteddaily_BLUP_RRBLUP","leafareaprojectedplant_BLUP_RRBLUP","leafinclinationmean_BLUP_RRBLUP","leafinclinationhot_BLUP_RRBLUP","leafinclinationcold_BLUP_RRBLUP","leafinclinationbright_BLUP_RRBLUP","leafinclinationdark_BLUP_RRBLUP","leafinclinationnoon_BLUP_RRBLUP","leafinclinationmidnight_BLUP_RRBLUP","lightpendaily_BLUP_RRBLUP","lightpenmeanplot_BLUP_RRBLUP","lightpenmeanplant_BLUP_RRBLUP","huedaily_BLUP_RRBLUP","huemean_BLUP_RRBLUP","huebin0_BLUP_RRBLUP","huebin1_BLUP_RRBLUP","huebin5_BLUP_RRBLUP","ndvimean_BLUP_RRBLUP","ndvibin0_BLUP_RRBLUP","ndvibin1_BLUP_RRBLUP","ndvibin2_BLUP_RRBLUP","ndvibin3_BLUP_RRBLUP","ndvibin4_BLUP_RRBLUP","ndvibin5_BLUP_RRBLUP","green_BLUP_RRBLUP","greenb0_BLUP_RRBLUP","greenb1_BLUP_RRBLUP","greenb2_BLUP_RRBLUP","greenb3_BLUP_RRBLUP","npcimean_BLUP_RRBLUP","psrimean_BLUP_RRBLUP","biomassfinalplot_BLUP_RRBLUP","biomassfinalplant_BLUP_RRBLUP","heightfinal_BLUP_RRBLUP","heighmaxfinal_BLUP_RRBLUP","leafareafinalplot_BLUP_RRBLUP","leafareafinalplant_BLUP_RRBLUP","leafareaindexfinal_BLUP_RRBLUP","leafareafinalprojectedplot_BLUP_RRBLUP","leafareafinalprojectedplant_BLUP_RRBLUP","lightpenetrationfinal_BLUP_RRBLUP","biomassAUC_BLUP_RRBLUP","biomassAUCperplant_BLUP_RRBLUP"
"GPC000040",71.2710782723093,97.7272381087188,35.271078140939,61.7272381436484,13.5359474109177,5.44390563775986,4.04549594614576,1.45804785891319,21.9659148682087,1.98172761234696,27001.4481689627,7.44186175085573,35.8191004033,1.12858873154285,1994337.19659064,505.531178928373,4.48769015956452,1.07675309579343,-0.113413343323211,35.8910930864675,35.8434715305096,35.9918343096862,0.145698660129269,33.2030498380324,36.6166320263366,3.32311120547691,36.6166320263366,34.3653591956368,2.17252667279545,4816.0179303992,1201.16502496542,0.182581086275277,2060.45062363553,515.873991425289,1.74652154076714,1.80487934783757,1.71809418567996,1.85583903296678,1.71809418567996,1.74792388483501,1.73954527339947,2.13773157096551,130.351375303966,33.0306106465839,0.0614760515277935,103.52620174184,0.112502434286632,0.618412978562104,0.020994501153606,0.650354846027405,0.0654295760737002,0.0429851020484886,0.114622514902617,0.284218626377118,0.340701050316701,0.15189678777264,0.332054471569973,0.31041459284794,0.274436147497154,0.238914210635161,0.116756774817936,0.180363347519004,0.111142763840341,101275381.290234,25666.1469626592,34.5779887104928,509.700389790907,289113.662441509,72863.7406860439,0.251275728540716,125777.750649343,316.462998995997,194.281549589804,5299307146,13350447.44
"GPC000160",68.8858898571624,97.9025178789646,32.8858899408385,61.9025181851253,10.7985671274149,6.07090609630682,4.18141034763034,1.64907820009522,24.5928806185479,1.60468296933189,22541.601615671,8.18092915818798,35.8191005773459,1.12858890560449,1163471.68393141,295.060984659423,2.49323194902672,0.223395206229638,-0.098453723443902,36.6968829028988,36.5841126301518,36.812249666181,0.19040161820758,34.0498010002565,37.5196137221921,3.3771468405808,37.5196137221921,34.5057260515227,2.84605293339177,3939.09262032647,994.705243736722,0.166613534538194,1721.32813143819,432.729950808671,1.71479147829045,1.80271025745192,1.68259136255801,1.82199926956076,1.68259136255801,1.71832919956886,1.70803092458532,1.42126923176927,104.329688536494,26.6844647992671,0.050972031398472,103.747724779749,0.110125627780041,0.589541877656527,0.026462811692137,0.654138915949668,0.0660867227076736,0.0413180556545997,0.110846386283775,0.278778704766447,0.34348578982237,0.161177982290739,0.315965567738093,0.342119230634385,0.267692735496913,0.22393822361494,0.111019570984569,0.173085649461603,0.106574575239278,59990076.9113068,15173.4350910453,22.8221771051054,436.566024893729,244785.58424437,62328.5676190058,0.212704851163804,110996.584190204,280.171709999982,145.270353994843,5299307146,13350447.44
"GPC000280",65.3841061613848,98.1336777304103,29.3841064140073,62.1336780394635,14.8432663717812,4.20805493936288,3.89117527913124,0.983592143090528,19.2868979829172,1.66730446793031,21515.1785282438,8.11825367328575,35.8191004792442,1.12858880746406,2127746.57963173,541.21331563246,4.52545916902029,1.1545372652103,-0.0965447923367128,36.4269801019812,36.3575392809172,36.5555057462434,0.176720859845014,33.5899989515859,37.4323631419194,3.67083590288895,37.4323631419194,34.4099507225731,2.86155203691529,4876.33820164666,1187.69606707928,0.175837488695793,2185.67208692263,553.261018121588,1.72241843191513,1.8027919436351,1.67947265605921,1.83874589430354,1.67947265605921,1.72482845373833,1.71608218996393,2.05756706028539,127.91471888659,32.9669970619755,0.0734301526787943,103.541238984969,0.117073352577666,0.607379239128311,0.0296798258715812,0.647230210274333,0.0686443991312723,0.0428988770413115,0.113182063444372,0.280841018110025,0.339374294772386,0.153144291502284,0.310580535119215,0.350771438220787,0.26907721474637,0.219685588425162,0.10749626163401,0.178630218285169,0.11091811687909,122094717.000662,30957.7946698868,35.8152088419942,508.215318081033,311660.568482614,79085.3636072427,0.272889423714175,148448.610125877,373.749770630756,186.127738230944,5299307146,13350447.44
"GPC000300",69.8774963035326,99.406217546736,33.877496213911,63.4062174805579,39.7756708326681,4.81929197026283,3.55830977785318,2.19997940106444,19.8569216031353,1.57038002694641,21745.9381115814,7.80369787336345,35.8191005605687,1.12858888885415,952610.199094391,251.894463767617,3.04678877471054,0.504246269124049,-0.10148474200015,36.850872641573,36.7383905353955,36.9626519571723,0.186630636726128,34.3327809498758,37.5790824963996,3.185614006363,37.5790824963996,34.5984118530832,2.81708661753175,3410.61120628227,902.263735183363,0.148942627797524,1458.83649868046,386.052378874749,1.71085605596232,1.79662330197893,1.68342490819293,1.81344240401599,1.68342490819293,1.71544006533541,1.70504118280945,1.73328860801844,118.575372636396,30.1669316373582,0.00887099596247129,103.669639255903,0.112195404052973,0.600580996185276,0.0237097132790785,0.645017989363835,0.0708779440733423,0.0434520152285849,0.114850695497829,0.282675340008498,0.332050248980603,0.153221241281094,0.324731450564097,0.31565433052852,0.269419973332155,0.242863916306167,0.116123747312842,0.175429613213437,0.108883360344471,53340950.8259466,13849.3227642777,25.0621965249225,456.251144750469,215932.631337675,57653.9683433446,0.18878565166284,94043.7388074445,249.273823492579,164.497508877676,5299307146,13350447.44
"GPC000760",72.0274714204004,106.10103907735,36.0274713349235,70.1010388502133,17.8783237617877,4.5544112034093,3.37864676051672,1.60698034968426,16.6913396448296,1.1370577342055,19102.5635029833,8.63133343446277,35.8191005543786,1.12858888261213,1003168.68284788,276.827315682222,3.42237694116178,1.18921546708874,-0.120834624500368,35.8462580210924,35.7431517806415,35.937420220035,0.176792541434694,33.1333900564506,37.0788824816446,3.77662915536522,37.0788824816446,33.4972950523835,3.45351763325529,3167.4851055261,932.157920080445,0.154566072923268,1255.29179139343,343.736109090648,1.74856139322272,1.84447094117398,1.69564706078987,1.85936001299156,1.69564706078987,1.75216708249378,1.74318225669649,1.61758631382556,121.636141772377,30.985323393946,0.0400260688386726,103.735165293318,0.108424601206309,0.593559424484828,0.0233554915843224,0.652933450972189,0.0649095236016865,0.0418072407487953,0.111752725168967,0.279738905695224,0.343429345439941,0.159390954417089,0.312338750681761,0.345129392946858,0.272835446113684,0.224203176345456,0.107868671757172,0.173881413751461,0.108233399392599,57632276.3673754,15320.6133274764,29.3635239497557,485.08220536478,216976.326438978,58439.7277963318,0.189661071128984,90546.0300108753,243.419140465316,156.698804184876,5299307146,13350447.44
"GPC001360",64.199010226699,99.8963802597622,28.1990103271179,63.8963807877393,92.718944282761,3.20196952711051,1.15524485891487,2.06186147273736,0.478376128339447,1.41956355976564,17154.5450829163,12.0098031947798,35.8191001849455,1.12858851280178,1281683.4154598,331.525600953012,2.42020593660438,0.585234987132073,-0.0905037192426754,35.7291307582317,35.6918991719522,35.8199958198922,0.133046824573907,32.8042504473659,37.1385775209499,4.08088339105936,37.1385775209499,33.4224376253258,3.55957950611553,5454.30550991648,1394.63975846133,0.177781780364497,2357.81295674211,603.883170443897,1.74095691562515,1.83063281675651,1.68029509136575,1.86360474598191,1.68029509136575,1.74086349200924,1.73648013152456,1.08976308234622,94.972344498259,24.8932263875382,0.0177074359148491,103.746522331322,0.121220305398131,0.556019226963121,0.0221281673671344,0.648666870200885,0.0748850380654722,0.0431541619043169,0.104510449343864,0.260223443838764,0.339686151692742,0.176736647630977,0.319249992153291,0.340625111397997,0.249962697720952,0.220292381695361,0.118982606750192,0.169650956743036,0.108413387726138,71524871.8056441,18307.3050759566,21.4225176431225,444.099807548915,348241.209015324,88806.0871380495,0.302001686279969,156620.183195734,398.354692649474,127.402029712544,5299307146,13350447.44
"GPC001460",69.5397881706379,103.792498729202,33.539788107783,67.7924984093911,23.9874040493848,3.41560073299857,2.59296035846406,1.38364737020478,8.70842930746074,1.23130198588737,17374.5756851972,6.67306972680711,35.8191006454362,1.12858897378303,1909025.14897017,481.145873211365,5.36787708130891,1.62880209789269,-0.0758670773573222,35.6827730773375,35.651057371845,35.8015980532249,0.15066952731214,33.5257261819427,36.129109399186,2.64281234771935,36.129109399186,33.9229464917453,2.19629411605544,3839.41074452117,1008.09445929271,0.158377395607627,1679.80537506083,425.386151784243,1.75093431014542,1.82238883826315,1.73164721055714,1.83941289223126,1.73164721055714,1.75042287673446,1.74422927344728,2.06826918636484,143.374351262442,35.6535505096143,0.0612856704281328,103.724139866172,0.107688692082491,0.605153878195861,0.0211191485387189,0.650034703774182,0.0671955178203913,0.0421882191213235,0.110835303926277,0.278489027025382,0.344713446188482,0.155826583240442,0.332500865972193,0.301879341106127,0.279409485881054,0.248568005784448,0.119243868445934,0.173696898385419,0.109592512155456,104781617.98458,26283.3342040661,41.5996353827162,543.291896528916,245863.811852659,62705.4333739029,0.212763036148508,109241.850767972,276.085387314559,203.101801084928,5299307146,13350447.44
"GPC001490",68.3895250652322,99.5676699827866,32.3895250293809,63.5676698426572,16.7284326726134,4.07931396439198,3.93028093045644,1.07655844320496,20.9024231549819,1.57959919602082,22337.7107826586,9.29721810137066,35.8191005638395,1.12858889215123,1385408.61031488,354.685139516144,3.42476156451317,0.636074907932079,-0.0864899764273537,36.3375329148099,36.2645450155091,36.4508641427855,0.179282582767154,33.8223670491458,37.079518029449,3.19246553339177,37.079518029449,34.3578008475585,2.67289336657611,4154.21646840465,1066.46029366959,0.166070975915384,1821.90310203627,460.282507086274,1.72468536913205,1.80609099987997,1.69748945223564,1.82750368645319,1.69748945223564,1.72648531609627,1.71711797502408,1.49342835182831,112.402106557333,28.5711262409786,0.069787469747667,103.676412430469,0.112904763405271,0.591815232878587,0.0297658910071395,0.653008796044372,0.0662648140806041,0.0411319163070103,0.1104771164085,0.279562229424869,0.344583002673627,0.158796541643533,0.310686674807221,0.34830455347139,0.269354004885244,0.21852251345112,0.107545897265561,0.174809201037809,0.107715002204312,79458923.1268677,20139.5556159188,29.6298892587103,469.595022368112,269032.917781333,68211.7370357913,0.232875791375074,121023.65286938,305.819553934157,155.050552807128,5299307146,13350447.44
"GPC002420",68.5947757609833,98.23972724236,32.5947758575523,62.2397274711902,14.5914265100621,6.72282336491494,4.06846064357785,2.09362740082376,23.9700569040546,1.58436233037484,22273.1380183947,8.36123797858168,35.8191005803581,1.12858890860704,1199777.26336245,310.297588156066,2.58161844901485,0.315362373557885,-0.0947973013289649,36.5887936228224,36.4783968195175,36.7024653733094,0.189749659496852,34.0463477917337,37.4663203424984,3.33851742682486,37.4663203424984,34.4816245147678,2.83050416310078,4069.09281124009,1026.45927535806,0.16811915809215,1771.45597372287,443.068456657331,1.71869093956406,1.80409722465074,1.68551563316652,1.82194285274648,1.68551563316652,1.72169665926097,1.71175281989533,1.35520865478154,104.436378781498,26.684417405665,0.043574923626796,103.766746973765,0.109399408545069,0.587132844601529,0.0262537217901735,0.654401299373698,0.0661445364825873,0.0411830466709573,0.110286208673618,0.277897271984236,0.344107250009867,0.162021855355613,0.324872352782025,0.33165452726801,0.267119964498917,0.22810538588907,0.11623444348399,0.172417583313969,0.106325174662752,62262278.7286139,15989.9869605955,23.7775000442414,443.645309214094,251516.241298876,63720.5743054741,0.218865384077091,112446.621046018,283.514494260515,143.577180054292,5299307146,13350447.44
"GPC002430",69.2241747133253,100.48151195047,33.2241747598131,64.4815120294683,16.8972712362377,4.43993127093019,3.75023584631464,1.39662109236541,20.0048344602677,1.33167422441718,21732.9147786462,8.8919315361053,35.8191006139343,1.12858894227373,1140557.23485179,295.648913443147,2.94644222957574,0.31391399136187,-0.101542144311256,36.0888420093297,35.9940608327971,36.1937816195254,0.182011916600817,33.6612643448373,37.1634721380478,3.38907954088213,37.1634721380478,34.1360287577577,2.89452808372272,3660.99733679871,974.137727876061,0.158120278792122,1559.15938214381,408.809881447644,1.73465724381663,1.81538800870872,1.69253611424884,1.83643158350814,1.69253611424884,1.7371081540798,1.72796642201779,1.40786244109468,110.131632237946,28.4970741913901,0.0381546118575476,103.61242977183,0.111205821919902,0.620865155830809,0.0202003773288967,0.648231273306463,0.0664013097385275,0.0426882002320861,0.115155522151702,0.288540612559447,0.336336542688985,0.149078767820877,0.333935381363886,0.298294847511267,0.274444621427935,0.248253465643571,0.119913612349987,0.178197544495237,0.109251681706312,68299350.4843298,17462.1580323225,26.9151782604779,461.964654527405,250060.66278927,65148.2609195856,0.216965157143633,110786.904636908,286.424772039963,147.478350641085,5299307146,13350447.44
