"","DASanthesis_BLUP_RRTrgtPred","DASmaturity_BLUP_RRTrgtPred","DATanthesis_BLUP_RRTrgtPred","DATmaturity_BLUP_RRTrgtPred","fruitno_BLUP_RRTrgtPred","fruitlength_BLUP_RRTrgtPred","fruitwidth_BLUP_RRTrgtPred","fruitshapeindex_BLUP_RRTrgtPred","fruitweight_BLUP_RRTrgtPred","yield_BLUP_RRTrgtPred","pollenconcentration_BLUP_RRTrgtPred","pollenactivity_BLUP_RRTrgtPred","leaftemp_BLUP_RRTrgtPred","leafminushobotemp_BLUP_RRTrgtPred","growthrateplot_BLUP_RRTrgtPred","growthrateplant_BLUP_RRTrgtPred","height_BLUP_RRTrgtPred","heightmax_BLUP_RRTrgtPred","leafangledaily_BLUP_RRTrgtPred","leafanglemean_BLUP_RRTrgtPred","leafanglenoon_BLUP_RRTrgtPred","leafanglemidnight_BLUP_RRTrgtPred","leafanglemidnightminusnoon_BLUP_RRTrgtPred","leafanglebright_BLUP_RRTrgtPred","leafanglelow_BLUP_RRTrgtPred","leafanglelowminusbright_BLUP_RRTrgtPred","leafanglecold_BLUP_RRTrgtPred","leafangleHot_BLUP_RRTrgtPred","leafanglecoldminushot_BLUP_RRTrgtPred","leafareadaily_BLUP_RRTrgtPred","leafareadailyplant_BLUP_RRTrgtPred","leafareaindex_BLUP_RRTrgtPred","leafareaprojecteddaily_BLUP_RRTrgtPred","leafareaprojectedplant_BLUP_RRTrgtPred","leafinclinationmean_BLUP_RRTrgtPred","leafinclinationhot_BLUP_RRTrgtPred","leafinclinationcold_BLUP_RRTrgtPred","leafinclinationbright_BLUP_RRTrgtPred","leafinclinationdark_BLUP_RRTrgtPred","leafinclinationnoon_BLUP_RRTrgtPred","leafinclinationmidnight_BLUP_RRTrgtPred","lightpendaily_BLUP_RRTrgtPred","lightpenmeanplot_BLUP_RRTrgtPred","lightpenmeanplant_BLUP_RRTrgtPred","huedaily_BLUP_RRTrgtPred","huemean_BLUP_RRTrgtPred","huebin0_BLUP_RRTrgtPred","huebin1_BLUP_RRTrgtPred","huebin5_BLUP_RRTrgtPred","ndvimean_BLUP_RRTrgtPred","ndvibin0_BLUP_RRTrgtPred","ndvibin1_BLUP_RRTrgtPred","ndvibin2_BLUP_RRTrgtPred","ndvibin3_BLUP_RRTrgtPred","ndvibin4_BLUP_RRTrgtPred","ndvibin5_BLUP_RRTrgtPred","green_BLUP_RRTrgtPred","greenb0_BLUP_RRTrgtPred","greenb1_BLUP_RRTrgtPred","greenb2_BLUP_RRTrgtPred","greenb3_BLUP_RRTrgtPred","npcimean_BLUP_RRTrgtPred","psrimean_BLUP_RRTrgtPred","biomassfinalplot_BLUP_RRTrgtPred","biomassfinalplant_BLUP_RRTrgtPred","heightfinal_BLUP_RRTrgtPred","heighmaxfinal_BLUP_RRTrgtPred","leafareafinalplot_BLUP_RRTrgtPred","leafareafinalplant_BLUP_RRTrgtPred","leafareaindexfinal_BLUP_RRTrgtPred","leafareafinalprojectedplot_BLUP_RRTrgtPred","leafareafinalprojectedplant_BLUP_RRTrgtPred","lightpenetrationfinal_BLUP_RRTrgtPred","biomassAUC_BLUP_RRTrgtPred","biomassAUCperplant_BLUP_RRTrgtPred"
"GPC000030",73.4379335880599,110.194091697365,33.4379335907602,70.1940916862003,6.19902252735762,5.68172261233758,4.34275317541985,1.02905931598573,26.4735989251206,6.59698213648176,22257.3792766212,75.6518649708313,34.2250589420075,-1.16850532573291,945510.033067924,249.06471781823,4.79865154228994,6.23191988970094,-0.0313930827940125,32.5326326405502,35.003206206644,35.2210755849042,0.207625047779973,34.2133082056779,38.7920622154814,4.7026201420617,36.7531499081821,28.9710410632728,7.5494935086892,1704.6001963808,446.15760251303,0.0506149274784019,896.578602810837,234.269465875421,1.65633345847787,1.53081258519796,1.68182660985651,1.8076716565296,1.60872534825529,1.76377309573497,1.755648443665,1.83421523652835,111.176136281567,31.6673560576585,-0.107736627848404,75.0132159536196,0.159065302290752,0.751213521330343,0.0188793806763648,0.54837910584183,0.0228603538699831,0.085934199126252,0.219285828515115,0.36814629788935,0.22021248949638,0.0123011520149433,0.281346460253717,0.308121087762053,0.316554799031569,0.2250055994212,0.0686701933337069,0.383722090741614,0.142708557074416,61416628.1777273,16406.3614886918,39.438992281384,507.016289513084,124702.844055295,324.653989359025,0.103864457039109,66563.9284736178,172.79397754393,192.501428619678,56582904652.0001,15321492597
"GPC000140",74.008291760084,114.150994145508,34.0082918040438,74.1509941269474,66.5500544193459,5.31086034406321,1.36222567274921,3.69327045998071,4.23411686335911,5.33678779215041,17139.609174362,79.2829404263974,34.4812418362224,-0.91254750230204,1684384.37699027,419.750141006743,8.14077775872064,9.43350709421626,0.00280899490618185,33.4335909266091,35.1925748180256,35.2902051024639,0.12010415181127,33.8327026069386,38.564059565649,4.68027144802826,36.8814329345948,32.3425680442157,4.89054368986314,2497.92845104538,633.313057261406,0.0523682836179216,1382.71497257181,348.22846093973,1.70081972461839,1.54815910359856,1.67731418179125,1.81615208544455,1.61261058707456,1.75528380358203,1.75237585359358,2.26593494018797,147.357853805314,38.3582507053328,0.0890399160666055,75.7051144038984,0.202739251722857,0.731196869329997,0.0372017655077395,0.58923359429478,0.0154430054474287,0.073376531428771,0.198428073885398,0.368829162695182,0.283871793292744,0.0236137081167287,0.261861415348186,0.385381014564417,0.29781997910677,0.216555050675222,0.0709523794510025,0.372797495906282,0.128378223691617,108565814.101072,27181.0500551567,57.947303471385,667.652117651092,142677.89423983,365.131311392216,0.119198708680257,78850.5668297625,200.517476433936,230.927332695361,56582904652.0001,15321492597
"GPC000150",72.6580005644708,115.940778501308,32.6580004986414,75.9407784647577,27.1046181622679,3.3964941342577,3.04428214053744,2.32825733984969,14.4828253968205,3.9806572360252,18751.0839559532,77.9646745723818,34.5530635459885,-0.839278165935869,1299844.51454141,343.679828945979,6.32946599846154,7.67171766438602,-0.0260054731936042,32.8643235054061,34.4765826068241,34.6292136095983,0.160192344159187,33.8384016320319,38.5582976310748,4.68156466751425,35.8586225638459,30.6335382629077,5.86323680164642,2007.79389718725,522.675791015869,0.0490087120006031,1064.52827958548,275.49150412209,1.70595430615083,1.54244429202534,1.7159660716066,1.81859631172511,1.61149526610996,1.78699226610668,1.78312325333201,2.28331921378634,155.010008658206,39.3819804817708,0.00860852653650442,80.7081998102121,0.131976311343815,0.806265895373527,0.00553158742936239,0.568441386218832,0.0192525373503305,0.085186440812172,0.217190554101643,0.372513308380849,0.240471228469079,0.0126330808534959,0.314820757984748,0.271954843471006,0.33115888460782,0.247780562355783,0.0764020363426991,0.375055072419245,0.137879870957371,84044892.1242757,22328.5760727127,50.9569567796861,617.841648578235,125808.547214477,328.433262937271,0.106003630702033,67075.0543642401,174.494952170843,246.724038600262,56582904652.0001,15321492597
"GPC000360",73.5652577762884,115.598796402025,33.5652577913204,75.598796394892,17.7617299990888,4.6351862366166,3.94398415318529,0.899170318013623,21.0904802728017,4.21313853939219,19335.1648510006,74.3606926962616,34.5705456614664,-0.822373141427506,784781.356389044,204.996070236519,4.20191611292722,5.51585787869452,-0.0537821701225659,33.4215653232415,35.1220333585048,35.3889583130414,0.243162777996189,34.6615837508836,38.9512724801159,4.64939755693783,37.0054070756565,29.7996160662188,6.89448472361693,1533.52390666858,404.694851670979,0.0449801899747714,777.55284807586,205.201555055571,1.69177272203067,1.53864865743033,1.67704684955051,1.78635104282081,1.60585726860974,1.76625991547166,1.75546590202878,1.6373998452728,119.307964248441,32.8572307816506,-0.059505240644286,78.1739313355956,0.163448905038093,0.781793097898956,0.0203209760707655,0.558769143298393,0.0251918154698717,0.0910498168165179,0.226580759429881,0.375707597915705,0.218120403879755,0.0117801797932219,0.290993240060708,0.331537975378838,0.329237044623545,0.228632654566266,0.068930902910303,0.384283539484969,0.144976083087105,59953431.8095811,15734.1466369155,37.3055836947432,476.487285842062,110288.711033681,292.936881011846,0.0919633846647629,57490.3524356457,152.554111732224,184.768114330202,56582904652.0001,15321492597
"GPC000800",75.053599586604,118.673196606754,35.0535995684061,78.6731965703769,23.8221336978835,2.55137494854892,1.63035199890113,2.12827090471384,5.08178913389881,1.79608514332117,17637.4459803996,75.0686665460814,35.0563830329888,-0.338646247618675,575734.493746581,156.596786319592,4.58123690109363,6.54486176872159,0.00700331027096771,34.3540944453614,36.2083616922335,36.2296848274468,0.0650202157856202,35.2143204750678,39.1483214171934,4.51338113058827,37.4314628069013,32.5555659360038,4.82051365984127,1487.84413351588,393.005207276703,0.0353810929953071,807.76490025393,213.872319472098,1.65089805263569,1.54951110496386,1.65416451349914,1.7548925728155,1.60051284478876,1.68747183838576,1.68235495236726,2.25823936401507,119.025682549755,34.181646477592,0.0302763824575347,76.801273506449,0.171990025974795,0.767235451458316,0.0188447483748403,0.566255662460653,0.0201774109385726,0.0843701173454486,0.219204347163586,0.381461856403998,0.232667464931118,0.0115051105299917,0.288332163464965,0.332907732106045,0.311196355479638,0.228641919725051,0.0783598874199002,0.386891895873322,0.14162984759611,48179331.9522652,13088.8033498231,37.3286223519724,497.739273866998,103115.003219749,274.256303290178,0.0863688744043881,55314.8196576369,147.403388105847,223.010980274377,56582904652.0001,15321492597
"GPC000830",74.2437476693215,118.256310547094,34.2437477101723,78.2563105123628,25.4259467956477,4.05161527060502,1.62994813278555,3.15986204881796,4.87598148372336,3.39760333566291,17608.1222017601,74.5591448450147,34.799821771534,-0.593299954196999,878448.907044018,253.13385440333,5.62954166421468,6.98445453592118,-0.00142514154303192,33.8279735801622,35.9031843858689,36.0082204957141,0.124877144267536,34.7429750360904,38.9663844378496,4.62422085375612,37.7118736323709,32.2925204626032,5.16659518497925,1642.30481413374,454.686960981426,0.0414938806658615,893.657880501427,248.264213962778,1.67881097604094,1.54556907410849,1.64869752122525,1.77846440336596,1.60699617014613,1.72094197261286,1.71560725914829,2.28734650085229,133.855902694732,38.8136666813729,0.0322292335545248,77.6830835183822,0.165750633466338,0.772220638644552,0.0148398334929363,0.57349833522378,0.0162559839526759,0.0808099995265028,0.214793831510253,0.379523023798007,0.246023287089286,0.0138147070433598,0.297682684214621,0.305742784620351,0.315824405288391,0.233370987784632,0.0760157812139221,0.385331283266218,0.138369662354671,65323224.0838188,18362.1715551379,44.0282073917547,540.708254468824,111468.810534249,304.757334727051,0.0934541161319434,60213.0339393344,165.272641284177,226.515516301075,56582904652.0001,15321492597
"GPC000850",72.0604472453893,112.920490964674,32.0604472034459,72.9204909410977,47.1660703441371,5.02830329712432,1.45844143209915,3.86786443217038,4.05451994744784,4.49953885248932,19025.1727449733,79.3064023917632,34.6863521774794,-0.707318128688611,1106498.51882361,299.096941019804,6.6983334094569,8.28526164642249,-0.0117951465984663,33.1854200694694,35.1799687154974,35.2638817736736,0.110543484128956,34.0866419150824,38.5880664502017,4.62523381140312,36.914359023269,31.0757462922684,5.87501610208236,1783.43319101737,476.849474378858,0.0442339407247639,967.836586443367,258.914314729115,1.68475090819124,1.53697874046597,1.67952122344404,1.80341616586068,1.61283578453568,1.75471621426343,1.75199349860123,2.46710628404892,150.738493720012,40.549352598433,0.00395071287892412,75.6842811665215,0.188776136370434,0.739451797440981,0.0211832871737011,0.572753146828,0.0212094950302825,0.0805126851707773,0.207147211903708,0.364209204027569,0.259864996238059,0.0172339509800839,0.268207904565006,0.364295955203961,0.304935376340943,0.209664272731049,0.0676940480864612,0.373792842348733,0.133983564408669,71067416.2514611,19124.8629761433,54.8272084725983,660.480431038482,116775.565785522,310.920537275743,0.0974210229410812,63205.0840809108,168.108552675697,253.290437957712,56582904652.0001,15321492597
"GPC000870",75.1124501354069,119.140995221777,35.1124501201373,79.1409951819324,31.0499043059323,2.69463760040284,1.55784074778107,2.54929787672721,4.48483538716343,2.52877765526673,16974.7352625404,74.3014327443858,35.0009071125899,-0.393721887015787,729521.46422308,201.60137059138,4.84844824011871,6.93863071000985,0.0116395207765594,34.3845910885165,36.2422950778014,36.2774580876053,0.0746131416810639,35.1712969416431,39.1556469772872,4.5350788338072,37.3901488680495,32.8065933154736,4.61439385771395,1625.45520353072,432.097360206511,0.0370718802755086,898.379902631854,238.810723243638,1.65038235495098,1.54920566859992,1.65631146111938,1.75685942226297,1.60059252398245,1.68573437237162,1.68068021865176,2.21785095272726,120.642002032962,34.6865764300092,0.0585029318002478,76.4914040719523,0.174875855455763,0.761857819211301,0.0227139240521723,0.569942223303106,0.0183206357747968,0.0827445990768424,0.216601740192458,0.381395131309137,0.239631176856545,0.0131768107368265,0.283930396826817,0.334087275534644,0.308889922551341,0.226692304981976,0.0777939748584685,0.386285613279755,0.140043773033463,56311304.3692883,15470.2321591472,39.40148786014,527.944591690887,109378.575347852,290.085425350186,0.0914539377706983,59488.7424683501,157.694103830667,222.777847035902,56582904652.0001,15321492597
"GPC001000",71.5801517861809,114.308311415147,31.5801517188808,74.3083113836628,50.7353115357713,6.68628184210528,1.73994852646796,3.78603874699998,6.44178919564734,5.21379079029651,16939.7934602985,78.6676086082609,34.6947525901549,-0.700131539275034,1442870.03929456,371.199909282093,6.53640753443507,8.0180180115335,0.0105675288121411,33.8518924655169,35.7096324393425,35.8402377379542,0.143696005112311,34.4196959128128,38.5848531134439,4.46200343390255,37.3466146349213,31.714687534283,5.50332161879629,2321.30170285297,598.327091561612,0.0540402260860628,1308.61747813646,335.507691645892,1.68256605610443,1.5418052524135,1.66042084707184,1.79158113778704,1.61081516603899,1.73189633733276,1.72750825950597,2.51586059717609,158.648507173927,40.4241513530448,0.0167047491985591,75.8768198670906,0.195900345135738,0.740318437422567,0.031026828292424,0.577570687361076,0.0194507146615766,0.0798891618972379,0.209062036302478,0.370305428039758,0.259853344215412,0.0163221887169878,0.261873531175531,0.38114749002667,0.306374449546863,0.208645212892947,0.067822269154644,0.373269962326108,0.133400353056515,97371985.4894917,25007.2844374126,52.1629835804926,620.375206061581,137881.302392356,358.390833380042,0.114741290273624,77513.6872285574,200.363987896429,261.30419234771,56582904652.0001,15321492597
"GPC001050",73.2776183972517,113.646384126972,33.2776184277698,73.6463841082344,61.1790175397942,4.50713371099113,1.1746601823197,4.07895096615006,3.12154981723549,4.30490107153738,15833.1346829709,76.0817039011948,34.6006779477013,-0.793007738582584,1397327.7731334,366.247870289675,7.50478910237364,8.73101472749546,-0.00125291952362049,33.7228294947567,35.1992416720974,35.3359762098551,0.148597671743504,34.200247271568,38.5552616447929,4.52349411128473,36.6790546058634,32.7672934343258,4.44035590775325,2228.62965442951,582.062412168998,0.0495324748834425,1219.67958296971,318.523497027556,1.70407917507335,1.55113378855481,1.6837267731491,1.79991692842957,1.61088344292638,1.75577853291511,1.75078330743975,2.5436639059129,170.271675653188,42.985679487825,0.0508946990964025,77.3215420723356,0.201911640395397,0.74405889729295,0.0323363261654741,0.584376560542577,0.0202012064318205,0.0785842266384124,0.205147172657485,0.370768314195283,0.271538911559663,0.0175990523812492,0.268039261699681,0.389821773487662,0.299446543312497,0.215276704539593,0.0710489429054226,0.373112866160523,0.132204998927572,93843687.7974981,24499.9559244068,57.3745904912777,675.515720808331,132824.480671511,347.22210983023,0.111335347785348,72806.7775498042,189.912766320765,270.959491991912,56582904652.0001,15321492597
