"","DASanthesis_BLUP_GBLUP","DASmaturity_BLUP_GBLUP","DATanthesis_BLUP_GBLUP","DATmaturity_BLUP_GBLUP","fruitno_BLUP_GBLUP","fruitlength_BLUP_GBLUP","fruitwidth_BLUP_GBLUP","fruitshapeindex_BLUP_GBLUP","fruitweight_BLUP_GBLUP","yield_BLUP_GBLUP","pollenconcentration_BLUP_GBLUP","pollenactivity_BLUP_GBLUP","leaftemp_BLUP_GBLUP","leafminushobotemp_BLUP_GBLUP","growthrateplot_BLUP_GBLUP","growthrateplant_BLUP_GBLUP","height_BLUP_GBLUP","heightmax_BLUP_GBLUP","leafangledaily_BLUP_GBLUP","leafanglemean_BLUP_GBLUP","leafanglenoon_BLUP_GBLUP","leafanglemidnight_BLUP_GBLUP","leafanglemidnightminusnoon_BLUP_GBLUP","leafanglebright_BLUP_GBLUP","leafanglelow_BLUP_GBLUP","leafanglelowminusbright_BLUP_GBLUP","leafanglecold_BLUP_GBLUP","leafangleHot_BLUP_GBLUP","leafanglecoldminushot_BLUP_GBLUP","leafareadaily_BLUP_GBLUP","leafareadailyplant_BLUP_GBLUP","leafareaindex_BLUP_GBLUP","leafareaprojecteddaily_BLUP_GBLUP","leafareaprojectedplant_BLUP_GBLUP","leafinclinationmean_BLUP_GBLUP","leafinclinationhot_BLUP_GBLUP","leafinclinationcold_BLUP_GBLUP","leafinclinationbright_BLUP_GBLUP","leafinclinationdark_BLUP_GBLUP","leafinclinationnoon_BLUP_GBLUP","leafinclinationmidnight_BLUP_GBLUP","lightpendaily_BLUP_GBLUP","lightpenmeanplot_BLUP_GBLUP","lightpenmeanplant_BLUP_GBLUP","huedaily_BLUP_GBLUP","huemean_BLUP_GBLUP","huebin0_BLUP_GBLUP","huebin1_BLUP_GBLUP","huebin5_BLUP_GBLUP","ndvimean_BLUP_GBLUP","ndvibin0_BLUP_GBLUP","ndvibin1_BLUP_GBLUP","ndvibin2_BLUP_GBLUP","ndvibin3_BLUP_GBLUP","ndvibin4_BLUP_GBLUP","ndvibin5_BLUP_GBLUP","green_BLUP_GBLUP","greenb0_BLUP_GBLUP","greenb1_BLUP_GBLUP","greenb2_BLUP_GBLUP","greenb3_BLUP_GBLUP","npcimean_BLUP_GBLUP","psrimean_BLUP_GBLUP","biomassfinalplot_BLUP_GBLUP","biomassfinalplant_BLUP_GBLUP","heightfinal_BLUP_GBLUP","heighmaxfinal_BLUP_GBLUP","leafareafinalplot_BLUP_GBLUP","leafareafinalplant_BLUP_GBLUP","leafareaindexfinal_BLUP_GBLUP","leafareafinalprojectedplot_BLUP_GBLUP","leafareafinalprojectedplant_BLUP_GBLUP","lightpenetrationfinal_BLUP_GBLUP","biomassAUC_BLUP_GBLUP","biomassAUCperplant_BLUP_GBLUP"
"GPC000040",0.36008367029175,0.216594606862598,0.360083670630951,0.216594620072003,-19.9827744521599,-0.283393235573544,2.35571826880052,-1.81506617546717,18.7326920265601,2.24894954778738,2931.09077283057,-1.54199583949518,-0.525319186712051,-0.523649098385726,-143094.966602326,-53.8940426508367,-0.806773401840811,-0.823988803814389,-0.0215855562840193,-0.508409524741448,-0.00223026450701309,0.0293108778569794,0.0223923592088481,0.137695772972196,0.11719478496758,0.06603174952331,-0.116631114142209,-0.904909376635771,0.677180349613929,-10.7002983937408,-23.4983472473547,0.00196254165783398,-21.5671610835109,-17.7938574385987,-0.0224321197106097,0.003234632541954,0.00565387247631203,-0.000734493585533462,-0.000175284344464856,0.00419214758162684,0.00100795361095642,-0.126354376035292,-19.7893963375474,-5.41165531268651,-0.0933605778348018,-2.24235580714977,-0.00461612964872385,-0.0136301915860609,-0.00629305841139503,-0.0213486162056021,0.0108434584944152,0.00471421693935718,0.00383585522235426,-0.00899244565060583,-0.0242819014050148,-0.0019199464649697,-0.0061114291011312,-0.00357488639189171,0.00255484028831516,-0.0135398021266087,-0.00599402647061095,0.00441486595097298,0.00752757699659618,-9225676.59772253,-3476.63532001924,-8.2250374097051,-80.8181403562771,3096.48456438,-3.86834206835187,0.00220613981689122,742.77909872966,-5.21000971246947,-16.714091993462,-1.32568943051478e-06,-4.81403667826183e-07
"GPC000160",1.7158387662947,5.12146425039162,1.71583876632856,5.12146424437401,-23.8832641544274,-2.36471222718963,1.72270594217118,-2.08283996079278,10.6344504365122,-1.94086530272139,-294.894918983785,-8.5999233917334,0.259832308447177,0.259203556669863,-569713.841031515,-154.594042232822,-2.26072774619683,-2.76793163885357,-0.028788814628092,0.484284880217582,0.230281682852609,0.336902818706458,0.0788412791483554,0.661911992611453,0.209925207104577,-0.11342172024789,0.0136490010675928,-0.369711099438703,0.262746388601852,-635.633693678728,-169.871739050664,-0.0100837384992778,-365.458935364976,-98.2868949088871,-0.0057068971920922,0.00126047237422894,-0.00149165965054007,-0.0223382929982933,-0.004936419383496,-0.0068902874639925,-0.0118362253066653,-0.490073367423458,-44.8126826121174,-9.47045228398622,-0.00350844104346132,1.78330004210087,-0.010039344590176,0.0264375292905602,-0.00332656750362269,-0.0100673929925181,0.00191842455638072,0.00823635115241351,0.0191062370254071,0.00941934033812591,-0.0336499107426298,-0.00434225679350229,0.0131847078289656,-0.00934817033976324,0.0163486249762634,0.0117762025556602,0.000290095877097776,0.00868040060937296,0.00858961430803909,-33899956.5697998,-9164.28124819955,-19.8064088388422,-228.504985754685,-24942.0010235853,-62.6009620402955,-0.0206288311501675,-14791.3441238939,-37.7788770123273,-69.4851538814666,-4.48751203533746e-08,-1.10627155881638e-08
"GPC000280",-1.14697065848794,0.0887132946935403,-1.14697065893986,0.0887132869110531,-18.508442811737,-1.7594012563333,1.61408469530567,-2.18513277538551,7.78449078750214,-0.534198633899591,1879.20233556031,-0.0168577773492341,-0.0623716095418163,-0.0629763848938433,330065.231393732,93.6989948778816,0.932656882276018,0.974691718884722,-0.0257933520989155,-0.220021403155412,0.0883475380381471,0.143888490315222,0.0421745999942234,0.349879722590998,0.189653239392122,-0.0194293024754265,-0.0825950142753683,-1.5686030324635,1.18965406727099,23.1719546966618,13.4798845590255,0.00192477683465115,5.82113295744521,4.95036819143239,-0.0224441355911636,-0.0101364596637379,0.00148966501594084,-0.0158357958217343,-0.00435667657895851,-0.00606009623397699,-0.00687546360405946,0.352901053507013,-1.93947483589758,0.0699348399004493,0.0101767981952664,-0.652778017910516,-0.0199771838910612,0.00376907635792207,-0.00339412561256596,-0.00702278377316667,-0.00538790391731211,0.000779920273401982,0.00328753377623003,0.0010622409942844,-0.00856786956522474,-0.00151480743415382,-0.00242940945278055,-0.0155116161853096,0.00797286899355706,-0.00495635405659998,-0.00270571366530198,-0.00214729379375126,-0.00147265887008837,15750229.4079034,4986.53489455675,6.67961133130874,73.2984595844138,5499.46059350537,16.2068032275519,0.00485722784750196,2869.83008041712,8.04842104772807,22.6557201827401,-1.19154921245587e-07,-3.86803147600734e-08
"GPC000300",1.60705047581349,3.81712516028788,1.60705047625184,3.81712516329637,-18.534746911758,-1.66531398297995,1.53238087745954,-1.82142476285005,7.44833327607893,-1.32198664244465,-933.73482082828,-7.34776454703082,0.0552084458279557,0.0548640899649715,-128609.840721228,-46.4307404590715,-1.38167981782054,-1.32137256988327,-0.0357470662181344,0.934202570878237,0.627781589014197,0.737733032681611,0.0827965942476433,0.71099110894587,0.299386805004196,-0.078448888670609,0.470743808507896,-0.42927265578238,0.445451159616449,-92.0213682439684,-39.166207173628,0.00177818650185301,-62.3630512001664,-25.4398771775628,-0.00158017078824243,-0.001293745729931,-0.0117139711548469,-0.0243491245345421,-0.00612218079125184,-0.0201826257359544,-0.0250261792174578,-0.274099947903661,-25.1417079246652,-6.30767775104949,0.0126195661131274,4.01586560675381,-0.0398138108869835,0.0631787338450708,-0.0122978791696394,-0.0052996926593159,-0.00107013163381426,0.00989516556391051,0.0176890418533918,0.0119062590825928,-0.0312240969909007,-0.00389737687976659,0.0385708709166364,-0.0650834088273067,0.0301540073961112,0.0265069777832791,0.00453530330505455,0.00997094663584773,0.00846629206760245,-5832140.79017992,-2324.53805303216,-10.4707278100398,-109.194562954787,-2658.07238476902,-14.7788428922148,-0.00200718091856688,-1675.53156190994,-9.70100414894791,-38.8833436612357,-5.70791184540515e-08,-1.69505503244054e-08
"GPC000760",2.01678398297925,5.58699339788838,2.01678398320288,5.58699339522462,-20.0516015290792,-1.39663721381168,1.91840307486867,-2.16481263574102,11.7832135827356,-0.0681485803615456,1145.78614088937,0.667871741673957,0.0804136345735688,0.0807693778104904,-507089.599500184,-134.15845735531,-1.46612560124992,-1.57280700210307,-0.0320191864034433,-0.0460713225006477,-0.325393036004291,-0.249619549199539,0.0566955120861919,0.0682248837395577,0.297789825119439,0.171901623851886,-0.69902944492279,0.123724331682739,-0.324386097027379,-587.20192547115,-156.315682327348,-0.00693418174739867,-359.577348813321,-94.8380139690119,0.00339455699057599,0.000846372269174561,0.0238485944717764,-0.00351214094741613,-0.00439568264083789,0.0168283277251852,0.0113684777779662,-0.359440296693698,-10.0356351221538,-2.24241879604079,0.0161940224253653,0.563681977747399,0.00225970048826563,0.0117103428122837,-0.000364010031294258,0.00063024297661218,-0.00254955491547844,-0.00035219405147169,0.00465788011674649,0.00692719730740845,-0.00510120865144207,-0.000818759764261713,0.00404614648134428,0.0112316099011283,0.00170437401040684,0.00403817382307171,0.00245683868713814,0.000892573338669049,-0.000119233417435139,-26739586.2070488,-7065.28149379293,-9.41607991635331,-103.080948599362,-20055.7055843877,-51.2538107998947,-0.015911914774617,-13040.3157653965,-32.9530074840565,-29.1672698377312,-8.56418349834542e-08,-2.65386707373497e-08
"GPC001360",-1.84700280691568,-5.94082689085868,-1.84700280707833,-5.94082686245015,51.854360029501,-3.30959103493075,-1.22712323888347,-1.31228193356404,-14.0495927549075,-0.11899681215847,-4104.79488946523,1.88459171066599,0.0942380975486713,0.0927766618913196,-227186.063582737,-63.0384898621795,-2.8670105572462,-3.14413097139355,-0.0410841960323116,-0.677270271697811,-0.730733096623596,-0.796393840045671,-0.0480336730286903,0.0451843281489358,-0.189092335071675,-0.181909767180786,-1.24336705190479,-0.65716392369202,0.0110995433915054,934.531637260596,236.729790802922,0.00763660636919199,422.865338163365,107.230275557992,-0.00190610268598519,0.0159981535810317,0.0465435192764346,-0.00899284634965688,-0.00251948399529841,0.0219089407766186,0.0269296824808287,-0.734359690006524,-48.6448638515496,-10.0075189309925,-0.239136077673216,-6.94618129550375,0.0466180156187119,-0.0802671635515961,0.00909936914148899,-0.00980973142444493,0.00960251105214615,0.00588465650636772,-0.00585002335195169,-0.0192053776742778,0.00202057809935809,0.00186016645300608,-0.0351621475945272,0.0471529272426902,-0.0351619945250011,-0.031354377754929,-0.00759895134887313,0.00439469400122411,0.00262544401228297,-11388332.8141758,-3135.33529182027,-19.1468443957238,-204.258265052669,42865.6901994621,103.523672992945,0.0348193278994861,21564.9302211071,52.1761837107353,-76.7386509377305,3.0519551161661e-07,1.01452772112079e-07
"GPC001460",2.13192062495173,0.334833653359402,2.13192062356929,0.334833642512515,-13.5461856012203,-3.48534689923888,0.210687004681387,-1.91291047032808,-4.41011497694927,-1.72460708731334,2735.25119149598,0.180312488561263,0.133891778194971,0.133389726207751,-346606.901536169,-92.0303271389767,0.475382560750323,0.310741009695467,-0.00352972997966146,-0.607384608631707,-0.20353707222764,-0.184607175537491,0.0132206420973404,-0.079718535209032,-0.0667443671978609,-0.00206241393085282,-0.746070956834043,0.000478192948248271,-0.281262170644501,-657.561625596657,-169.616099116647,-0.00946055614503591,-371.802604430458,-96.1056682701272,-0.017263067829077,-0.000284136824594722,0.0263012728199849,0.00535259000920576,0.00048504983091305,0.0118303245961816,0.0102634852206527,0.283234086398194,9.10805077771228,2.19964726683013,0.0569995654897793,-0.21757699227013,-0.0171219592993293,0.00103600086523697,-0.00639897579176912,-0.00282567180136193,-0.00733850895918972,-0.00417295647845575,-0.00328261646425833,0.000374907232215536,0.00164235362393987,-0.000158308407963527,0.00361679232015847,-0.0241298481886835,0.0026856888642626,0.00148104915868235,0.00045073902154157,-0.00810031170002621,-0.00680715319503341,-15452628.9742354,-4004.74259040483,4.27783543885843,31.3018192890942,-24437.689142656,-60.9060480997347,-0.0195077985563693,-14484.1222783651,-36.2129259813469,21.4579966171348,1.24175377133793e-08,7.65685600459154e-09
"GPC001490",-0.0249770323619002,2.85264006062452,-0.0249770326832302,2.85264007431627,-18.8313618495545,-3.2745759341657,1.43354482070277,-2.25051014234819,7.23931165387828,-1.74069907594733,-152.624995357745,-3.16267335498125,0.126883077184398,0.124702646729188,-517936.711997848,-131.980037782266,-1.53020737968829,-1.55360426939478,-0.0180846323832823,0.080416562079857,-0.0534674752341398,-0.0152580968893603,0.0275973911884177,0.179043001990802,0.250145374363373,0.0536546056220494,-0.561350066545131,-0.463832507156244,0.228903500319924,-688.609077133476,-167.155744018065,-0.0106271532671109,-397.284827030399,-97.1344740151809,-0.00642045816737756,-0.000384027344169793,0.0187824231853501,-0.00818491432013011,-0.00696257967223973,-0.00178091155472294,-0.0042483928485303,-0.259523872524844,-22.2252324101263,-4.03752755492383,0.0084559531454884,0.107295655128173,-0.00809516243118562,0.0120145392236431,-0.000324420680575655,-0.00838502109689259,-0.00121630053808965,0.00527695881830084,0.0125083634364501,0.00581800205866644,-0.0228670420737196,-0.00370937723188124,0.00344118952697249,0.00134013875958722,0.00877361503445636,0.000762082596379524,-0.00112402373878352,0.00529586016575069,0.00458488625976616,-30889541.8195218,-7686.32679246387,-9.72766895576164,-96.661014435994,-27020.8419614296,-59.5617720625925,-0.0223179613438595,-16733.8756092435,-37.5251535656159,-26.9628039076147,-1.01640130788253e-07,-3.24081191983794e-08
"GPC002420",1.57903286205231,4.53456786254839,1.57903286210847,4.5345678592672,-22.5049211552487,-2.42105280768747,1.59664784706184,-1.99404667497675,9.07157614154527,-2.40581561860169,-708.148146517581,-8.67289267156749,0.320707045185669,0.320043555924891,-701923.076743412,-190.069476849991,-2.81541053235594,-3.15142671489426,-0.0315661482905838,0.409699560816231,0.199154205942624,0.319220607008782,0.0891997971724677,0.68809791357645,0.223372920944626,-0.115930208886255,-0.127165377941612,-0.431026445782777,0.266267287267361,-714.905560554492,-194.030498686609,-0.0114531902735904,-416.745114541955,-113.256067479628,-0.00794799290922477,0.000714479269923696,0.00393883371954195,-0.0230027811156716,-0.0050743999391228,-0.00596794138827928,-0.0108707069717497,-0.591242930614355,-45.1055528831554,-9.75456136722972,-0.0169810912344789,0.883696757815428,-0.00960550634775311,0.0183076556875505,-0.00339864729374929,-0.0121481312649615,0.00166194778666549,0.00880644411001734,0.020527292565957,0.00890612089690845,-0.037154934780379,-0.00489542091307766,0.0067231962855959,-0.0125325403460218,0.0138303166209658,0.00879490592258282,-0.000143210933442509,0.00903019006555685,0.00880775338307072,-41079633.7348052,-11170.1863973802,-22.6876390891933,-247.859602296158,-28637.1500169915,-72.993408916948,-0.0235661536970837,-17189.9185043254,-44.3016468459853,-74.3241454833424,-3.54089570523062e-08,-7.90097295851024e-09
"GPC002430",2.06662062859951,3.85089050057118,2.06662062868959,3.85089049258234,-19.4536444588805,-1.44546144777964,1.95803558653651,-2.05630789111943,13.4610049281842,-1.40034998330623,-27.9566187661314,-2.75584196869119,0.17553917940369,0.174333895050374,-292288.221873503,-52.4434502665116,-1.46036956567406,-1.57410377513152,-0.0203260766964219,0.0830722563578991,-0.10288630229275,-0.0474459601629185,0.0415536695046773,0.412667689644029,0.105925688466959,-0.104638432095277,-0.335363826837382,-1.03653607538783,0.648981573136994,-471.622732249634,-90.7874924876571,-0.00430085566871359,-267.378540003883,-52.1613183116667,-0.00442412735142001,-0.00155291885067683,0.0124340100980314,-0.0165836649277378,-0.00427880318855785,0.0034215713772983,0.00116088704819191,-0.348460087616496,-27.4872846786617,-4.77882288945221,0.0121022882401177,2.30273230412004,-0.0322072659787945,0.0358608317598433,-0.00657215329647785,-0.00827608266450792,-0.00177176578006459,0.00543049786862894,0.0133013826210577,0.00926147581717071,-0.0255541621314727,-0.00444441455633387,0.0204379900513351,-0.0408739112950927,0.015611117129387,0.0205755281169926,0.00624606280445562,0.00603371059782465,0.00443215230697188,-13371573.5359716,-1836.93001415082,-8.85554207459057,-91.3711134165546,-16654.6123595644,-25.7406260689741,-0.013679354034748,-10188.5006758772,-16.5988596668395,-33.9474676067968,-2.08954176583387e-08,-2.56896833329525e-09
