g2pname,genotype,environment,DASanthesis_BLUP,DASmaturity_BLUP,DATanthesis_BLUP,DATmaturity_BLUP,fruitno_BLUP,fruitlength_BLUP,fruitwidth_BLUP,fruitshapeindex_BLUP,fruitweight_BLUP,yield_BLUP,pollenconcentration_BLUP,pollenactivity_BLUP,leaftemp_BLUP,leafminushobotemp_BLUP,growthrateplot_BLUP,growthrateplant_BLUP,height_BLUP,heightmax_BLUP,leafangledaily_BLUP,leafanglemean_BLUP,leafanglenoon_BLUP,leafanglemidnight_BLUP,leafanglemidnightminusnoon_BLUP,leafanglebright_BLUP,leafanglelow_BLUP,leafanglelowminusbright_BLUP,leafanglecold_BLUP,leafangleHot_BLUP,leafanglecoldminushot_BLUP,leafareadaily_BLUP,leafareadailyplant_BLUP,leafareaindex_BLUP,leafareaprojecteddaily_BLUP,leafareaprojectedplant_BLUP,leafinclinationmean_BLUP,leafinclinationhot_BLUP,leafinclinationcold_BLUP,leafinclinationbright_BLUP,leafinclinationdark_BLUP,leafinclinationnoon_BLUP,leafinclinationmidnight_BLUP,lightpendaily_BLUP,lightpenmeanplot_BLUP,lightpenmeanplant_BLUP,huedaily_BLUP,huemean_BLUP,huebin0_BLUP,huebin1_BLUP,huebin5_BLUP,ndvimean_BLUP,ndvibin0_BLUP,ndvibin1_BLUP,ndvibin2_BLUP,ndvibin3_BLUP,ndvibin4_BLUP,ndvibin5_BLUP,green_BLUP,greenb0_BLUP,greenb1_BLUP,greenb2_BLUP,greenb3_BLUP,npcimean_BLUP,psrimean_BLUP,biomassfinalplot_BLUP,biomassfinalplant_BLUP,heightfinal_BLUP,heighmaxfinal_BLUP,leafareafinalplot_BLUP,leafareafinalplant_BLUP,leafareaindexfinal_BLUP,leafareafinalprojectedplot_BLUP,leafareafinalprojectedplant_BLUP,lightpenetrationfinal_BLUP,biomassAUC_BLUP,biomassAUCperplant_BLUP
GPC042610,PPC189,stress1,73.9305995,108.7554451,33.9305995,68.7554451,12.63309792,10.66546662,2.081222178,5.200862122,13.3627049,4.0143899,14252.88996,77.73011445,35.30193144,-0.092607855,721635.7527,182.2224983,5.485529026,6.843359912,-0.043314667,31.24394912,33.62828986,33.84559292,0.209927013,34.17544073,38.90471736,4.788895879,35.48527946,28.07249024,7.717309808,1076.917206,274.2179434,0.041407844,522.3903008,133.0995783,1.6820436,1.509253233,1.727826516,1.797684002,1.603706085,1.824915049,1.812660033,2.522999275,168.9583836,41.86669452,-0.053355429,75.71299409,0.14845068,0.756135395,0.013945264,0.555709776,0.011747669,0.075577748,0.215471863,0.371864084,0.235559609,0.013585021,0.286057122,0.296286055,0.313013855,0.229401745,0.072935949,0.372116445,0.134229596,63436342.13,16058.18545,51.90124796,620.460369,92499.19083,236.8447965,0.07744737,46431.25841,118.7982096,288.093079,56582904652,15321492597
GPC003030,PPC19,stress1,73.9305995,109.8523188,33.9305995,69.85231878,14.31997047,13.00998711,2.405285883,5.459370764,24.35134104,8.155105034,32737.65444,81.52238534,34.62766694,-0.765973491,764336.0327,192.923103,6.371922283,7.423138258,-0.040493738,31.30638915,33.70732262,34.03698462,0.286240055,33.5721598,38.85340251,5.056690444,35.37827195,27.98085717,7.743125943,1247.125605,316.5686599,0.041407844,612.5679097,155.5331964,1.669082666,1.509921804,1.738726321,1.818652252,1.606349842,1.81582568,1.809604093,3.244024663,136.5493069,34.91453325,-0.047499539,72.53223976,0.182290992,0.71140319,0.023151813,0.56345458,0.011747669,0.070602388,0.200919684,0.357941637,0.264576643,0.019184391,0.264526358,0.329907622,0.289948576,0.214316005,0.072935949,0.382255289,0.131704427,54609361.86,13855.89764,44.16515772,538.0126689,107530.8445,274.0363098,0.089732944,55145.94575,140.3823561,252.1917405,56582904652,15321492597
GPC043060,PPC190,stress1,73.9305995,110.9491925,33.9305995,70.94919246,7.400933897,11.88590195,2.632130476,4.522276939,18.03128731,2.511253584,15651.26196,83.0242748,34.99967494,-0.394461416,395533.9877,100.5132859,3.503122486,5.063440391,-0.060240244,31.27381174,32.58566538,32.83395109,0.230127524,32.62260102,38.72953909,5.442589278,34.8459782,30.32794983,5.494404715,787.4369387,202.1981629,0.028494594,367.2021898,94.4953329,1.76196936,1.616893176,1.755076029,1.873693908,1.611637357,1.879451258,1.867666936,0.60403202,128.7240384,33.23650731,-0.062139264,78.54712777,0.142297896,0.791921158,0.013945264,0.545383371,0.022960686,0.110405268,0.242150857,0.360262045,0.203904663,0.007985651,0.292208768,0.296286055,0.336079135,0.235436041,0.070105783,0.373806253,0.14685544,31555068.2,8103.969267,37.36131066,500.4719032,72604.73709,187.6180794,0.060247566,35040.0469,90.58152665,170.4546563,56582904652,15321492597
GPC043310,PPC191,stress1,70.1524134,102.9968583,30.1524134,62.99685829,70.30126637,11.33991772,1.335875658,8.690728782,5.168866403,8.353632472,11580.29087,75.17690237,34.31611024,-1.077114854,1151005.303,289.8104162,5.201044704,6.875247721,-0.003821656,32.16154603,35.2606203,35.32508113,0.09770195,34.59746685,38.31902031,4.12284273,36.49499133,29.09170719,7.358601407,2126.45722,535.3545147,0.051738444,1126.957973,283.4994896,1.62155924,1.487858959,1.686952248,1.768852658,1.619568629,1.737051155,1.736261555,2.6540948,139.3414735,35.51111187,-0.141193778,75.73047077,0.142297896,0.756135395,0.013945264,0.545383371,0.014550923,0.083040788,0.217897226,0.355621229,0.232921697,0.013585021,0.289132945,0.277947019,0.307247536,0.241470336,0.075766116,0.372116445,0.134229596,84993879.18,21436.67795,47.97971348,586.6950949,142824.0024,361.3549843,0.121675437,76047.29925,192.1474465,261.2286788,56582904652,15321492597
GPC043540,PPC192,stress1,74.87514602,116.9819977,34.87514602,76.98199769,11.57522869,6.554526584,5.645922929,1.19397818,45.75695015,3.787501399,16029.42585,77.38356116,35.00432504,-0.389817515,368902.7729,97.31299629,3.449220193,4.216964007,-0.060240244,32.5334714,34.34870385,34.44710969,0.124635965,33.89408998,39.65851475,5.519494384,35.41119734,27.71238835,7.984982365,857.6325072,231.0986419,0.031077244,428.4671956,114.8934079,1.695004534,1.517276086,1.73600137,1.802926064,1.582556026,1.782497997,1.775988763,1.182660545,91.86079116,26.4649834,-0.179257062,75.77416245,0.169985424,0.750171101,0.026220663,0.555709776,0.02576394,0.090503828,0.225173315,0.362582453,0.227645873,0.016384706,0.270678004,0.348246658,0.313013855,0.214316005,0.06444545,0.37549606,0.139279934,30164191.83,8056.133543,29.37764108,372.6713676,75626.56875,203.4063538,0.062704681,38673.88985,103.9046687,144.0908672,56582904652,15321492597
GPC044910,PPC193,stress1,74.87514602,109.8523188,34.87514602,69.85231878,5.11364908,3.696138589,4.544106333,0.838528798,23.46208724,1.490255332,16427.35461,70.06185004,35.08337674,-0.310871199,319934.9978,82.97278949,1.984874577,2.816799302,-0.046135597,32.09367643,34.88977428,35.08508201,0.191971003,35.07900948,39.48864492,4.784775962,37.15624285,26.14980338,10.17120137,879.3605794,231.926133,0.038825194,422.6732471,111.5842289,1.634520174,1.46980754,1.656977784,1.750505439,1.58784354,1.755229892,1.75154125,0.882044944,79.00796075,23.56052491,-0.138265833,76.73246664,0.120763153,0.782974717,0.010876414,0.52473056,0.020157432,0.100454548,0.247001584,0.364902861,0.174887629,0.005185966,0.295284592,0.256551477,0.333195975,0.244487484,0.070105783,0.373806253,0.144330271,29918987.07,7825.498389,21.75158609,298.2322859,75241.00562,200.3536287,0.062704681,37486.45716,99.81961208,119.5375784,56582904652,15321492597
GPC045100,PPC194,stress1,75.34741929,109.8523188,35.34741929,69.85231878,34.04780202,9.284447703,1.724752103,5.491684344,8.471809055,8.013299721,28591.94306,81.46606449,34.49281404,-0.900646618,1239149.663,311.8953239,7.731457886,9.000135357,0.004641133,31.89549722,34.4824516,34.65672917,0.178503995,34.28094726,38.97018802,4.788895879,37.17819311,29.47592304,7.369471358,1523.057184,385.2223747,0.046573144,813.0505276,205.4068453,1.662602199,1.566081774,1.665152638,1.792441939,1.602384206,1.794617154,1.78821252,1.749987731,152.3826644,38.31336765,0.00520347,80.54238118,0.111533977,0.794903305,0.013945264,0.566036182,0.014550923,0.073090068,0.196068958,0.350980414,0.27249038,0.019184391,0.307587885,0.253494971,0.321663335,0.253538928,0.081426449,0.350148951,0.121603751,86778859.23,21882.02135,62.45852007,711.4183263,109955.0446,280.0319497,0.089732944,58146.6875,147.8127156,230.354202,56582904652,15321492597
GPC045230,PPC195,stress1,75.34741929,116.7077793,35.34741929,76.70777927,6.48601997,10.15159912,2.016409437,5.071607802,16.41157505,2.000754458,22673.42374,79.12087949,35.71114024,0.316055427,860432.6169,253.6966027,6.012573665,7.185429136,-0.026389091,32.42216527,34.03257282,34.18280687,0.160547985,32.85796174,38.87994467,5.441215972,35.93800353,30.74431763,5.684628867,1536.91873,453.180436,0.038825194,784.7950291,231.6414705,1.705805312,1.620236031,1.708751858,1.855346689,1.605027964,1.812795891,1.797380337,1.892384594,142.8344518,41.69318759,0.166240443,79.69476257,0.145374288,0.791921158,0.013945264,0.576362587,0.011747669,0.070602388,0.20577041,0.383466124,0.259300819,0.013585021,0.307587885,0.284060031,0.318780175,0.253538928,0.084256615,0.372116445,0.129179258,61264309.75,17955.81396,48.02861804,590.3796461,106028.4131,313.0945973,0.087275829,54445.21151,160.9136791,221.6259306,56582904652,15321492597
GPC046740,PPC196,stress1,71.09695993,112.0460661,31.09695993,72.04606614,9.259352811,7.614378313,5.224640113,1.484800401,52.48987171,8.750687348,21690.97487,78.68756899,33.32098883,-2.070909654,1120610.91,282.193727,6.737260044,8.034804412,-0.026389091,32.37872873,34.66787461,34.85115883,0.182992998,33.77235168,39.17013897,5.202260822,37.51293454,30.29258268,6.843637452,1731.541264,437.0962521,0.049155794,899.8740459,227.0017969,1.701485001,1.542013216,1.646077979,1.826515345,1.601062327,1.782497997,1.779044702,2.660875603,142.4798909,36.18612514,-0.035787759,75.8761097,0.176138208,0.744206807,0.020082964,0.573780986,0.014550923,0.073090068,0.203345047,0.371864084,0.259300819,0.016384706,0.267602181,0.357416176,0.307247536,0.20828171,0.067275616,0.367047024,0.126654089,83879960.63,21158.76235,54.8508043,653.2986382,123883.7268,314.4952881,0.102018518,64829.51925,164.3650217,269.0257617,56582904652,15321492597
GPC047230,PPC197,stress1,72.04150645,102.9968583,32.04150645,62.99685829,38.70814483,11.53261804,1.303469287,9.078491744,6.502747089,6.737051906,21438.72636,85.82154393,34.44166294,-0.951729528,919438.9152,248.1280988,5.767018777,9.052315408,-0.026389091,33.68453971,36.11782177,36.26077387,0.153814481,35.02219827,39.40371,4.747696715,37.38123299,30.13986089,6.910215905,1666.072375,445.9097341,0.041407844,870.4100464,233.6315266,1.641000642,1.545356071,1.64880293,1.755747501,1.589165419,1.703723472,1.699590286,2.972792542,144.3164053,39.5398002,-0.152905557,77.60338747,0.14845068,0.777010424,0.017014114,0.566036182,0.014550923,0.080553108,0.217897226,0.371864084,0.240835434,0.013585021,0.298360415,0.290173043,0.318780175,0.244487484,0.078596282,0.385634904,0.141805102,68440423.12,18528.38301,45.37248907,646.8770756,111548.7393,302.1623764,0.092190059,58496.8329,158.9822401,256.6687082,56582904652,15321492597
