"treatment","g2pname","genotype","DASanthesis","DASmaturity","DATanthesis","DATmaturity","fruitno","fruitlength","fruitwidth","fruitshapeindex","fruitweight","yield","pollenconcentration","pollenactivity","cluster"
"control","GPC003050","PPC21",45,110.333333333333,3,68.3333333333333,33.2833333333333,21.7,1.63333333333333,13.4666666666667,18.3333333333333,17.57,17747.6666666667,90.4333333333333,1
"control","GPC003090","PPC22",46.6666666666667,108.666666666667,4.66666666666667,66.6666666666667,31.8633333333333,20.6333333333333,1.63333333333333,12.6333333333333,16.8,15.8966666666667,30978.3333333333,90.2833333333333,1
"control","GPC003100","PPC23",50,108.666666666667,8,66.6666666666667,24.6666666666667,20.0666666666667,1.63333333333333,12.3,17.2,12.6766666666667,33080.6666666667,91.3033333333333,1
"control","GPC003120","PPC24",53.3333333333333,114.333333333333,11.3333333333333,72.3333333333333,23.9533333333333,18.2666666666667,2.93333333333333,6.36666666666667,29.6,20.97,37595.3333333333,95.5,1
"control","GPC003150","PPC25",47,114.333333333333,5,72.3333333333333,23.0533333333333,17.1333333333333,2.4,7.13333333333333,26.5333333333333,18.0266666666667,36585.6666666667,93.82,1
"control","GPC003160","PPC26",51.3333333333333,110.333333333333,9.33333333333333,68.3333333333333,14.0566666666667,17.5333333333333,3.96666666666667,4.43333333333333,46.8666666666667,19.57,28534,94.6133333333333,1
"control","GPC003170","PPC27",46.6666666666667,110.333333333333,4.66666666666667,68.3333333333333,14.4,18.5,3.36666666666667,5.53333333333333,47.5333333333333,20.2533333333333,26765.3333333333,94.0733333333333,1
"control","GPC003190","PPC28",50,111,8,69,12.89,19.6333333333333,3.6,5.46666666666667,54,20.2966666666667,29171.3333333333,94.6766666666667,1
"control","GPC003220","PPC29",51.3333333333333,121.666666666667,9.33333333333333,79.6666666666667,4.68666666666667,14.7666666666667,6.13333333333333,2.43333333333333,122.6,17.05,32764.3333333333,79.6766666666667,1
"control","GPC003240","PPC30",58,124.333333333333,16,82.3333333333333,7.26333333333333,14.4333333333333,6.1,2.4,104.333333333333,22.43,45999.6666666667,96.1033333333333,1
"control","GPC003260","PPC31",50,121.666666666667,8,79.6666666666667,5.09,14.1333333333333,6.86666666666667,2.06666666666667,132.466666666667,20.45,55726.3333333333,86.9833333333333,1
