g2pname,genotype,environment,datatype,DASanthesis_BLUP,DASmaturity_BLUP,DATanthesis_BLUP,DATmaturity_BLUP,fruitno_BLUP,fruitlength_BLUP,fruitwidth_BLUP,fruitshapeindex_BLUP,fruitweight_BLUP,yield_BLUP,pollenconcentration_BLUP,pollenactivity_BLUP,leaftemp_BLUP,leafminushobotemp_BLUP,growthrateplot_BLUP,growthrateplant_BLUP,height_BLUP,heightmax_BLUP,leafangledaily_BLUP,leafanglemean_BLUP,leafanglenoon_BLUP,leafanglemidnight_BLUP,leafanglemidnightminusnoon_BLUP,leafanglebright_BLUP,leafanglelow_BLUP,leafanglelowminusbright_BLUP,leafanglecold_BLUP,leafangleHot_BLUP,leafanglecoldminushot_BLUP,leafareadaily_BLUP,leafareadailyplant_BLUP,leafareaindex_BLUP,leafareaprojecteddaily_BLUP,leafareaprojectedplant_BLUP,leafinclinationmean_BLUP,leafinclinationhot_BLUP,leafinclinationcold_BLUP,leafinclinationbright_BLUP,leafinclinationdark_BLUP,leafinclinationnoon_BLUP,leafinclinationmidnight_BLUP,lightpendaily_BLUP,lightpenmeanplot_BLUP,lightpenmeanplant_BLUP,huedaily_BLUP,huemean_BLUP,huebin0_BLUP,huebin1_BLUP,huebin5_BLUP,ndvimean_BLUP,ndvibin0_BLUP,ndvibin1_BLUP,ndvibin2_BLUP,ndvibin3_BLUP,ndvibin4_BLUP,ndvibin5_BLUP,green_BLUP,greenb0_BLUP,greenb1_BLUP,greenb2_BLUP,greenb3_BLUP,npcimean_BLUP,psrimean_BLUP,biomassfinalplot_BLUP,biomassfinalplant_BLUP,heightfinal_BLUP,heighmaxfinal_BLUP,leafareafinalplot_BLUP,leafareafinalplant_BLUP,leafareaindexfinal_BLUP,leafareafinalprojectedplot_BLUP,leafareafinalprojectedplant_BLUP,lightpenetrationfinal_BLUP,biomassAUC_BLUP,biomassAUCperplant_BLUP
GPC050600,GPC050600,stress1,predictionRRBLUP,73.69591607,113.9049157,33.69591605,73.90491567,70.95357374,4.98347619,1.276491003,4.251463204,1.93087382,4.521427401,16056.60785,80.25081377,34.54544163,-0.848890883,1778938.339,472.8494572,8.171015818,9.198918632,-0.011442449,33.64956483,35.06722627,35.23174869,0.169567534,34.20544272,38.67599173,4.610192808,37.10547383,32.18426826,5.073949717,2500.693055,662.2543522,0.051766245,1341.512877,354.6230666,1.710256061,1.555070051,1.666140054,1.800950359,1.611014931,1.761954533,1.754693552,1.920570553,162.0125521,41.55866505,0.072168721,78.60595603,0.172109408,0.765157164,0.029954245,0.590187534,0.017557689,0.074948133,0.199186858,0.370788018,0.281744662,0.020889639,0.282637939,0.3373572,0.30790921,0.239000161,0.077577109,0.371894559,0.130263477,114705248.3,30464.68799,62.4200549,700.7412622,140509.1056,372.3768064,0.117557953,76211.88361,202.0533907,231.4671654,56582904652,15321492597
GPC051670,GPC051670,stress1,predictionRRBLUP,74.23880256,116.2529422,34.23880255,76.25294218,3.651619655,4.454148811,4.44726494,0.755512792,25.38025314,3.312969366,18838.29894,70.47257009,34.79124741,-0.60413032,448805.9078,118.2190641,2.790802092,3.829725417,-0.056646651,33.11730765,34.8946862,35.17374055,0.253786367,34.51342096,38.86442194,4.615142525,36.40465056,28.76471482,7.533656304,1028.006716,277.2301375,0.036580915,507.5863302,136.2097056,1.682234112,1.5282728,1.695325662,1.793058531,1.60475524,1.767208073,1.75756272,1.414536695,93.74062143,28.64223961,-0.070680463,78.39801558,0.142619581,0.789300957,0.009818415,0.553924095,0.021430992,0.091274813,0.230904751,0.377089578,0.210971072,0.00998225,0.30175823,0.2863645,0.329529213,0.240943727,0.07393697,0.385790696,0.144865369,37598748.41,10051.53355,26.40671681,354.062611,90327.1506,248.1376202,0.075624687,46092.32104,126.659951,152.0269505,56582904652,15321492597
GPC052670,GPC052670,stress1,predictionRRBLUP,71.09763003,113.5434229,31.09762992,73.54342286,61.25422984,2.975926459,1.205678199,2.910775362,0.856147901,3.623847121,15403.24338,78.01582244,34.58684342,-0.808000697,1615970.833,426.0298593,7.494807,8.96624654,-0.004487602,33.57986038,35.56823807,35.65752472,0.113277074,34.46216603,38.63860537,4.477192526,36.99398402,31.95214978,5.154978995,2301.210551,598.4487433,0.051979635,1273.877944,331.0200107,1.683565653,1.545488009,1.672163647,1.786759736,1.607813124,1.736344873,1.734021396,2.608393417,162.3861473,41.79366294,0.048799491,76.13912659,0.189829421,0.737404166,0.027953755,0.577547649,0.018275484,0.079071764,0.206413859,0.366406123,0.266523003,0.017772991,0.266792896,0.366320569,0.297911248,0.216223448,0.071875764,0.375022752,0.132062069,112206651.5,29419.30773,59.81549257,702.6666392,139271.19,361.4747574,0.116237265,76923.79683,199.0316365,269.0525175,56582904652,15321492597
GPC082110,GPC082110,stress1,predictionRRBLUP,75.9551101,118.4523232,35.95511014,78.4523232,22.42894929,2.118461978,1.389336761,2.21232352,3.377079585,1.820269764,17410.10401,75.23798982,35.1135669,-0.28121305,626094.5852,177.6669988,4.537243453,6.566550748,0.009723857,34.01247528,36.17903702,36.25347134,0.103531069,35.35083417,39.37729342,4.634637287,37.67927031,32.80771206,4.765256786,1291.860808,354.9403994,0.033292541,690.4205302,190.4139154,1.644157438,1.551382896,1.646637122,1.752630277,1.598890027,1.686845223,1.677516115,2.141966648,110.4640104,33.09969433,0.060574057,77.36384902,0.144082405,0.781698432,0.005435784,0.561067974,0.018767029,0.08308879,0.218801794,0.382382043,0.227009605,0.009337222,0.305651911,0.272526835,0.316784318,0.242626444,0.081693845,0.388154806,0.142158831,44533202.39,12563.51649,35.55188087,491.0288903,92317.33479,252.858096,0.077691137,48987.51454,134.7160121,215.383148,56582904652,15321492597
GPC084260,GPC084260,stress1,predictionRRBLUP,71.91829407,116.3391624,31.91829399,76.33916235,44.71868195,3.845585905,1.378666905,3.330359979,2.384504458,3.030517836,16361.11065,76.04203526,34.68602321,-0.707727329,1136065.915,304.4837456,6.687897734,8.13502692,0.011731363,33.93959465,35.76563739,35.84022855,0.102127563,34.52710556,38.71214248,4.486341138,37.10396949,32.31452572,4.907369902,1960.087467,516.9648771,0.045756536,1083.28337,285.3202594,1.682392241,1.547354355,1.670055921,1.783534204,1.607958333,1.724552191,1.72280654,2.582990507,163.0233209,41.00292991,0.059072107,77.28851891,0.182036854,0.75254539,0.028712289,0.578625288,0.018548358,0.080052619,0.209396346,0.374157703,0.260133159,0.016845501,0.27291815,0.35902998,0.303620849,0.220659368,0.072790071,0.374377018,0.133517561,82176514.83,21807.18196,55.032643,649.6546912,126768.7417,332.5726607,0.105621115,69496.6977,181.931977,268.6798779,56582904652,15321492597
GPC098270,GPC098270,stress1,predictionRRBLUP,73.76242957,117.2923075,33.76242959,77.29230748,15.24941244,7.952562329,1.798258356,4.502250809,6.469651895,3.829873822,20110.86542,77.6512761,34.87817967,-0.516578599,1002488.356,275.4510734,6.957442481,8.541186487,-0.007847929,32.66008815,34.40354138,34.5388848,0.14898894,33.55252496,38.70577041,4.89557626,35.56715607,30.34922273,6.034536599,1571.568127,428.574535,0.038280055,823.7755607,225.1226586,1.694860923,1.529651699,1.729248623,1.826678698,1.611875851,1.781293462,1.778016329,2.529191635,155.1790006,43.07575897,0.044268075,78.11286095,0.157656495,0.7699206,0.016310154,0.568258548,0.018130071,0.082244444,0.212117601,0.369928268,0.247609612,0.014680416,0.291424395,0.31216229,0.315770019,0.231070438,0.073218931,0.375357841,0.135543995,69447079.21,19066.11276,56.58037114,672.3085173,106651.3779,290.8463614,0.088739878,56071.75344,153.655941,262.3046663,56582904652,15321492597
GPC101660,GPC101660,stress1,predictionRRBLUP,77.63244198,119.0844555,37.63244205,79.08445545,13.48294438,2.699363262,1.336863595,2.031722427,2.621973799,1.185731796,17765.92919,77.10447678,35.16545184,-0.228783575,383437.9633,111.9421976,4.250061014,6.896060102,0.029931161,34.16135657,36.43848669,36.47858138,0.078726786,35.45213716,39.71104332,4.807342275,37.59856651,33.23981888,4.371576118,937.5384755,258.4764766,0.025207885,488.0045512,135.7016874,1.619531072,1.553752622,1.648456171,1.748565272,1.594971728,1.662417111,1.651602302,2.134538195,103.5203843,31.36646845,0.060736681,76.26702957,0.143400337,0.771914239,0.009048721,0.558626687,0.017745096,0.081919242,0.216424735,0.384109866,0.226160248,0.010235116,0.299239108,0.270697651,0.31372985,0.241149968,0.083236716,0.388425502,0.141426058,30239241.9,8736.498831,35.20605099,510.0732285,75693.11757,210.2267331,0.063822128,39052.78368,109.4884467,226.0800714,56582904652,15321492597
GPC107230,GPC107230,stress1,predictionRRBLUP,73.81446151,115.9263124,33.81446151,75.92631237,79.80949453,2.761065889,1.729602167,2.211303561,5.545419037,4.457567775,16789.82438,76.73318734,34.52151422,-0.872274449,1956107.267,512.6797196,8.25995818,9.467225611,0.007064169,33.80526057,35.2597003,35.3870906,0.141020998,34.22410636,38.68901983,4.61100628,36.85249528,32.1276828,5.036751993,2928.355573,765.2865695,0.05989528,1623.478531,424.248044,1.701172252,1.549141555,1.680239061,1.800944935,1.609832505,1.752310027,1.748682687,2.136168043,147.1684061,38.61003661,0.06288622,78.99800152,0.174916582,0.771443097,0.024644689,0.585620517,0.021252858,0.076604292,0.202696715,0.373227015,0.272837051,0.019094379,0.287912625,0.331664048,0.310447986,0.239336546,0.075130204,0.371942778,0.132579004,116888274.8,30351.20755,58.11110312,677.0903456,159390.1047,413.6276633,0.132760297,88567.40219,229.7431534,232.5575488,56582904652,15321492597
GPC000130,GPC000130,stress1,predictionRRBLUP,77.86447589,119.3878737,37.86447596,79.38787366,18.05794164,2.09258021,1.273744166,2.091471733,2.250011359,0.954241057,17734.43387,77.03098502,35.19237046,-0.202167222,237001.7205,73.77519887,3.950550679,6.614591148,0.0259397,34.12733891,36.32936444,36.35828991,0.071032403,35.36598733,39.65247107,4.795334164,37.43043183,33.32367024,4.249456384,886.1817373,246.6715317,0.023535668,452.218371,127.331808,1.623108758,1.555151489,1.654722255,1.751415502,1.595478981,1.666231884,1.655913122,2.089136417,96.75822215,30.58453536,0.056254505,75.81505605,0.150033225,0.765803702,0.009249029,0.558779341,0.018343358,0.082436458,0.216418225,0.383585805,0.226114527,0.010568688,0.295277359,0.277769747,0.310765431,0.237383617,0.082440792,0.388701823,0.141837096,22441180.21,6760.80205,32.43140709,483.9742394,72789.73675,204.2808113,0.061476795,36999.37641,105.238636,217.6147423,56582904652,15321492597
GPC000390,GPC000390,stress1,predictionRRBLUP,77.64662314,118.9814988,37.6466232,78.98149882,13.90807689,2.90723745,1.287340851,2.242659456,2.366169343,1.112318428,17808.65204,77.01350186,35.16563856,-0.228530146,313117.1344,92.67876554,4.076881554,6.707669564,0.027301564,34.07940645,36.36609627,36.40572265,0.078601958,35.42917695,39.69449689,4.802130198,37.52871572,33.12573566,4.442403773,889.5183015,244.8162404,0.024092337,455.6321722,126.5636055,1.619777164,1.553906137,1.651134024,1.749389947,1.595040611,1.665142723,1.654449887,2.096464612,99.73530176,30.68415984,0.056441131,75.92420471,0.145534002,0.768246656,0.008873511,0.55758868,0.017942976,0.082151241,0.216503707,0.383426638,0.225407052,0.01022943,0.296883034,0.272392219,0.312589254,0.239155483,0.082740626,0.388244758,0.14150606,25524206.7,7471.638203,33.57141901,492.695669,73746.19431,205.262536,0.062257701,37687.78194,106.0627586,220.5590649,56582904652,15321492597
GPC001740,GPC001740,stress1,predictionRRBLUP,77.5485916,118.8482794,37.54859166,78.84827939,17.26233948,2.372926898,1.305398775,2.081779893,2.355890737,1.172699077,17896.48669,77.12067868,35.15512033,-0.239154921,308163.1302,95.33418767,3.979331291,6.550145736,0.025639775,34.10738864,36.41812441,36.4470237,0.070457345,35.4384087,39.67362782,4.787017171,37.55300963,33.11521153,4.452764356,939.8692548,261.2908684,0.024777422,485.3689631,136.45872,1.61890054,1.554085339,1.650244997,1.748830233,1.595214555,1.663343073,1.653298131,2.019078369,97.78001274,30.62616155,0.050454067,75.95251235,0.14403445,0.768744086,0.007808173,0.557510654,0.018776838,0.082241373,0.216030823,0.382574612,0.226074819,0.010494559,0.29699858,0.27047422,0.312810944,0.238615282,0.082617905,0.388136352,0.141701246,27388554.8,8150.907508,32.95297082,485.285112,75912.09029,211.4600596,0.06399982,39017.06507,109.9223813,213.3247129,56582904652,15321492597
GPC001800,GPC001800,stress1,predictionRRBLUP,77.69470294,119.3236087,37.69470301,79.32360863,16.64646167,2.569630016,1.295783774,2.280564618,2.591788535,0.970514667,17673.09448,76.70106475,35.16719984,-0.227462316,213972.8995,68.6202244,3.830450844,6.463508985,0.026667485,34.08292923,36.28117103,36.30614513,0.068198309,35.33749038,39.62983324,4.78674553,37.35390578,33.31164216,4.240865421,837.554257,235.2026722,0.023097804,421.2293965,120.1400296,1.622957645,1.555138187,1.657611429,1.752203629,1.595490662,1.667745981,1.657650047,2.065679541,97.38624606,30.78139896,0.048480415,75.81783346,0.149519565,0.767105039,0.00919149,0.557118885,0.019211679,0.082871492,0.217137424,0.383815748,0.223398803,0.009983678,0.295576529,0.278956354,0.312377524,0.23741495,0.082079318,0.38863568,0.142349784,21450257.91,6514.573032,32.11477064,479.1738119,71440.59994,201.4454731,0.060402608,36044.62171,103.2408435,217.7283652,56582904652,15321492597
GPC001870,GPC001870,stress1,predictionRRBLUP,77.65741261,119.392065,37.65741267,79.39206495,17.20931051,2.415965168,1.280483393,2.263343358,2.22702113,1.016918918,17927.14258,76.97431093,35.1583878,-0.236096655,352712.7065,108.0884652,4.110905459,6.70664949,0.027649795,34.10435337,36.31031961,36.33754263,0.069468962,35.37030615,39.66302431,4.799550994,37.39671299,33.25394869,4.297696439,957.6970538,267.2043606,0.024832837,496.9758603,140.1862208,1.623139621,1.555402507,1.655336748,1.750963331,1.595215561,1.666895411,1.656718575,2.072217609,98.18954345,30.80977111,0.060454876,76.3790633,0.14152391,0.773350661,0.007199885,0.558503719,0.018214484,0.082249603,0.216818343,0.384062489,0.225702396,0.010018704,0.300982149,0.263655784,0.313631297,0.241812608,0.083363083,0.388785311,0.141900004,29083877.71,8650.624528,33.59876804,490.1007551,75947.51096,211.6307999,0.064102551,39087.82211,110.0756149,216.5848331,56582904652,15321492597
GPC001970,GPC001970,stress1,predictionRRBLUP,76.85835731,120.6790564,36.85835734,80.67905642,15.28904783,4.016053343,1.427710461,3.127753304,4.070844375,1.592115482,18009.35585,77.7504984,35.09212161,-0.30229247,614560.2573,171.3983041,4.529433357,6.626561807,0.018996535,34.39553556,36.26897152,36.34643602,0.105082502,35.31112074,39.41556714,4.655674953,37.52198179,33.29368642,4.323590038,1274.001777,342.6975598,0.032904519,698.9075721,188.3738123,1.642929129,1.554955922,1.650861056,1.754406713,1.598538272,1.68233658,1.672724755,1.844870686,118.9524614,33.62745991,0.077955563,76.98128703,0.160219719,0.772781237,0.015449997,0.567303435,0.018236911,0.082334932,0.215521333,0.383513322,0.236221843,0.0123555,0.292937111,0.30925116,0.314863761,0.235225078,0.080748525,0.387119775,0.141032429,47832482.52,13177.85364,38.43002203,519.5487577,92991.37063,249.7215227,0.078400613,49811.73197,133.934511,208.3898946,56582904652,15321492597
GPC002050,GPC002050,stress1,predictionRRBLUP,76.43105713,119.5302062,36.43105714,79.53020613,14.13364815,3.914490716,1.377632213,3.261379335,3.331700312,1.524010042,17829.28617,76.90546308,35.10277166,-0.291363224,499108.6238,140.6179938,4.647453196,6.743126658,0.01589301,34.37406559,36.36645471,36.4031925,0.075455536,35.42320782,39.52807909,4.692859748,37.67925227,33.10701881,4.519732408,1170.463956,314.951298,0.030194934,629.636082,170.1622521,1.639189062,1.553332203,1.644708668,1.748502022,1.597404891,1.676305366,1.668259249,1.978682809,112.4976796,32.77942802,0.067746186,76.48714464,0.167354505,0.766948737,0.016933917,0.565894861,0.018958383,0.082912413,0.215649586,0.381731028,0.235672161,0.012559334,0.28842971,0.323422105,0.311915224,0.230950502,0.080196017,0.387648548,0.141250744,39395332.49,10902.88593,38.24096717,517.7189297,88692.85303,239.0943772,0.075004975,46939.92374,126.9491106,210.6678002,56582904652,15321492597
