g2pname,genotype,environment,DASanthesis_BLUP,DASmaturity_BLUP,DATanthesis_BLUP,DATmaturity_BLUP,fruitno_BLUP,fruitlength_BLUP,fruitwidth_BLUP,fruitshapeindex_BLUP,fruitweight_BLUP,yield_BLUP,pollenconcentration_BLUP,pollenactivity_BLUP,leaftemp_BLUP,leafminushobotemp_BLUP,growthrateplot_BLUP,growthrateplant_BLUP,height_BLUP,heightmax_BLUP,leafangledaily_BLUP,leafanglemean_BLUP,leafanglenoon_BLUP,leafanglemidnight_BLUP,leafanglemidnightminusnoon_BLUP,leafanglebright_BLUP,leafanglelow_BLUP,leafanglelowminusbright_BLUP,leafanglecold_BLUP,leafangleHot_BLUP,leafanglecoldminushot_BLUP,leafareadaily_BLUP,leafareadailyplant_BLUP,leafareaindex_BLUP,leafareaprojecteddaily_BLUP,leafareaprojectedplant_BLUP,leafinclinationmean_BLUP,leafinclinationhot_BLUP,leafinclinationcold_BLUP,leafinclinationbright_BLUP,leafinclinationdark_BLUP,leafinclinationnoon_BLUP,leafinclinationmidnight_BLUP,lightpendaily_BLUP,lightpenmeanplot_BLUP,lightpenmeanplant_BLUP,huedaily_BLUP,huemean_BLUP,huebin0_BLUP,huebin1_BLUP,huebin5_BLUP,ndvimean_BLUP,ndvibin0_BLUP,ndvibin1_BLUP,ndvibin2_BLUP,ndvibin3_BLUP,ndvibin4_BLUP,ndvibin5_BLUP,green_BLUP,greenb0_BLUP,greenb1_BLUP,greenb2_BLUP,greenb3_BLUP,npcimean_BLUP,psrimean_BLUP,biomassfinalplot_BLUP,biomassfinalplant_BLUP,heightfinal_BLUP,heighmaxfinal_BLUP,leafareafinalplot_BLUP,leafareafinalplant_BLUP,leafareaindexfinal_BLUP,leafareafinalprojectedplot_BLUP,leafareafinalprojectedplant_BLUP,lightpenetrationfinal_BLUP,biomassAUC_BLUP,biomassAUCperplant_BLUP
GPC107210,PPC260,stress2,66.42925929,136.5227341,30.42925929,100.5227341,93.40878796,3.133933038,0.61371664,5.055970464,1.279613833,0.665810343,13922.96388,11.00455957,35.81543746,1.124977284,3903406.917,970.0784082,6.611676922,0.941115868,-0.061899409,35.41095594,35.41261,35.46756947,0.0819773,33.49592057,35.52119256,2.246084875,35.52119256,34.71384131,1.053403359,8033.740965,1983.760326,0.226152959,3664.833637,902.651825,1.746471361,1.765133326,1.750179115,1.84534231,1.750179115,1.749666505,1.749305182,2.130949668,131.2289998,32.99685799,0.070353555,103.7756958,0.106759423,0.612046652,0.020391507,0.664502638,0.061759988,0.038876106,0.101278681,0.263514692,0.358991204,0.177658559,0.36738383,0.273802252,0.244732659,0.255045238,0.150152906,0.17539399,0.108158327,253398446.9,63073.87932,44.32366644,550.5008002,547918.0136,134556.847,0.474809672,263554.255,649.096846,184.1855691,5299307146,13350447.44
GPC107960,PPC261,stress2,61.31187001,94.7482724,25.31187001,58.7482724,59.1751794,5.44649506,1.825881059,3.086016578,6.248419465,2.470918761,11160.87146,5.194598595,35.78746107,1.096979194,5362909.468,1328.170246,8.559939318,5.376154962,-0.038305487,36.82941217,36.81030888,36.91946535,0.12204571,35.48594355,35.63746914,0.828195994,35.63746914,37.0386975,-0.666987408,7674.728668,1897.598025,0.233794672,3476.549607,857.6515408,1.705520139,1.683081575,1.765498523,1.756624713,1.765498523,1.705611173,1.702114556,2.144462019,152.4861097,37.99424301,0.123721769,104.3734134,0.100503442,0.525656622,0.023549005,0.670270706,0.064756123,0.036858159,0.089680642,0.239663714,0.375778589,0.195912242,0.319825589,0.320900857,0.281906142,0.236256746,0.11042639,0.148175686,0.100687755,326157152.9,81052.64148,63.10366168,736.5683881,506052.9778,124606.3108,0.443186406,226973.1591,561.0672956,229.4896508,5299307146,13350447.44
GPC107970,PPC262,stress2,60.5808144,94.7482724,24.5808144,58.7482724,29.22609563,5.249081229,1.953477314,2.723214085,5.634986671,1.224892533,17738.84531,6.132069123,35.70532524,1.014420722,3786251.344,941.3304319,6.906147116,3.020479498,-0.06976405,37.64447166,37.60854323,37.75903992,0.14653196,34.97081499,36.8345893,2.151695745,36.8345893,36.18994048,1.002412395,7145.10605,1770.487138,0.210869533,3367.358365,831.5572349,1.667719011,1.713167217,1.701667656,1.767062077,1.701667656,1.674143079,1.664362055,2.516051661,144.6189276,36.14308134,0.123721769,103.5540646,0.123963374,0.552053576,0.036179,0.658734571,0.067752259,0.038876106,0.099345674,0.252673338,0.352695934,0.186785401,0.284949545,0.383698997,0.25402603,0.201811178,0.107370504,0.17161367,0.110959792,227595132.8,56697.848,49.51004517,602.2658167,453465.4268,112107.226,0.394314084,214583.9465,531.2565589,252.2991492,5299307146,13350447.44
GPC112440,PPC263,stress2,70.81559295,125.0637672,34.81559295,89.0637672,24.14261318,6.480275647,1.571164541,5.349286939,6.253239822,0.995666814,15797.31542,8.237590902,35.76450608,1.074006401,2260412.775,566.9635115,6.697935867,2.252426265,-0.075007144,36.42820072,36.28656619,36.56596026,0.237798894,33.5311662,37.36047652,3.647558255,37.36047652,34.03824207,3.126296872,4280.884811,1083.072284,0.147188593,1799.336412,456.8121298,1.727570797,1.803424143,1.686348248,1.850560993,1.686348248,1.733932458,1.720990806,3.022764809,175.688036,43.44752982,0.114018457,103.9392223,0.11145141,0.552053576,0.026706504,0.674116084,0.064756123,0.036858159,0.091613648,0.241831985,0.365286473,0.207320793,0.319825589,0.336600392,0.25712382,0.223731085,0.119594047,0.163296966,0.10348922,128607492.2,32237.88557,46.35696265,549.2465709,268362.5967,68111.72295,0.233322909,118361.8077,299.7050985,211.4590447,5299307146,13350447.44
GPC112760,PPC264,stress2,73.00875978,136.5227341,37.00875978,100.5227341,34.47030853,7.871864985,1.315496041,6.402158661,6.003046347,1.560843267,25785.44389,10.00818156,35.67483815,0.983909982,4145726.694,1029.529772,7.090562793,2.428048193,-0.054034768,37.65078995,37.50442571,37.72116437,0.195504461,35.56456844,37.13585133,1.93419036,37.13585133,37.51842973,0.217594958,8369.469643,2064.333165,0.215964009,3946.539264,969.9747963,1.677169293,1.661201108,1.734859707,1.751406031,1.734859707,1.680436698,1.67380018,2.939438647,156.4290251,38.91857137,0.126147597,103.8835693,0.103631432,0.600048037,0.020391507,0.662579949,0.063258056,0.036858159,0.103211687,0.270019504,0.361089627,0.166250008,0.348360533,0.280082066,0.266417191,0.258176653,0.137929363,0.169345478,0.108158327,258549374.3,64346.67918,46.26561166,550.1298997,539698.6252,132603.2538,0.469059987,264298.3188,650.8853776,216.4632045,5299307146,13350447.44
GPC112810,PPC265,stress2,64.23609245,98.38083429,28.23609245,62.38083429,52.05134065,8.689722285,1.379294168,6.774508587,6.064389627,2.167560263,22804.16792,9.994716991,35.84484854,1.154411174,2726785.588,681.3893769,4.434382152,0.50323186,-0.064520956,35.89114603,35.90480193,35.94732637,0.075299232,33.47423094,35.1591496,1.981384925,35.1591496,34.12907894,1.206376249,7678.333949,1898.463292,0.190491632,3521.06232,868.2903787,1.730720891,1.789748851,1.778264696,1.827076923,1.778264696,1.727638839,1.72728289,1.484608896,116.8160452,29.61015897,0.130999252,104.4089627,0.106759423,0.501659391,0.029864003,0.674116084,0.061759988,0.038876106,0.091613648,0.244000255,0.365286473,0.200475662,0.294461193,0.377419183,0.26022161,0.204942593,0.101258732,0.14515143,0.096952469,159702534.6,39921.50715,31.89403834,498.4624885,483423.8907,119227.7933,0.420187666,221103.3029,546.9449379,152.0090743,5299307146,13350447.44
GPC112830,PPC266,stress2,73.73981539,136.5227341,37.73981539,100.5227341,24.90749908,5.502899011,1.283596977,4.425839818,3.856031568,0.836292804,20830.18748,11.95212853,35.78889575,1.098414993,6802579.971,1681.396426,8.937694012,3.083703392,-0.019954658,36.042785,35.99314407,36.1966737,0.18660037,34.72680672,35.39170274,1.211908325,35.39170274,36.11329687,-0.152643776,10590.80914,2597.45771,0.266908761,4926.464221,1204.170066,1.746471361,1.713167217,1.814009982,1.806202194,1.814009982,1.752813315,1.743013098,2.146714077,145.8044664,36.42363629,0.123721769,103.9733005,0.103631432,0.585649698,0.023549005,0.66065726,0.064756123,0.038876106,0.101278681,0.261346421,0.367384896,0.163968298,0.338848885,0.28636188,0.269514981,0.261308069,0.125705819,0.16405303,0.108158327,465266788.6,115426.8004,63.61640594,699.3978169,706724.1708,172302.1217,0.612802109,349985.2026,857.0875722,200.1427935,5299307146,13350447.44
GPC113030,PPC267,stress2,66.42925929,98.38083429,30.42925929,62.38083429,175.0844937,7.843663009,1.028404468,8.346652723,4.202621097,3.533927053,17104.63625,8.363821225,35.82476292,1.133951031,3056931.171,762.3931469,5.683649643,1.208061198,-0.030440846,37.09162123,37.09426576,37.18775045,0.108689573,35.01148303,37.69873564,2.789848339,37.69873564,35.37524728,2.363649419,6960.581781,1726.199898,0.187944395,3199.237206,791.3763978,1.680319387,1.765133326,1.658262667,1.764452736,1.658262667,1.680436698,1.676946222,1.549918591,133.7066426,33.58051248,0.169812498,104.4530928,0.105195428,0.496859945,0.029864003,0.670270706,0.063258056,0.040894052,0.093546655,0.241831985,0.365286473,0.202757373,0.297631743,0.377419183,0.263319401,0.201811178,0.101258732,0.143639302,0.097886291,194448288.8,48507.22306,42.93572077,637.6453291,447694.4942,110735.5805,0.391439242,212484.8412,526.2036053,173.9657737,5299307146,13350447.44
GPC113230,PPC268,stress2,59.60607359,102.0133962,23.60607359,66.01339618,65.36204455,5.869524698,1.57068855,3.856176255,4.71483748,2.089840317,15683.45383,9.289510256,35.76450608,1.074006401,6769594.514,1673.303196,9.368988741,3.849414999,-0.054034768,34.95919817,34.95196884,34.98465628,0.066395141,34.29301424,33.86160876,0.356250346,33.86160876,36.61857697,-1.824260578,9524.112796,2341.449756,0.251625335,4076.13499,1000.947701,1.809473241,1.702226984,1.852308502,1.89231045,1.852308502,1.806309075,1.805933932,1.88322324,183.0090709,45.16843383,0.101889318,104.2179774,0.102067437,0.54005496,0.023549005,0.664502638,0.070748395,0.040894052,0.091613648,0.239663714,0.377877012,0.186785401,0.329337237,0.305201322,0.266417191,0.251913823,0.122649933,0.15271207,0.106290684,384602636,95494.59289,65.21357484,705.1736156,572435.5804,140384.2183,0.497808412,248213.4106,612.1798652,240.3231856,5299307146,13350447.44
GPC114500,PPC269,stress2,73.73981539,136.5227341,37.73981539,100.5227341,244.2473427,3.331346869,0.773211958,4.180789012,1.647673509,1.681183828,17946.83248,17.71496351,35.78530904,1.094466545,3638981.136,905.198205,8.973387369,4.905488194,-0.00160383,37.14848585,37.15105714,37.29822079,0.148757983,35.39918506,38.08456245,2.796004151,38.08456245,35.60233946,2.507754316,5972.36694,2919.935473,0.157377543,2775.186365,690.032806,1.696069857,1.748722976,1.665922371,1.748796689,1.665922371,1.689877126,1.686384347,2.912413946,159.7165641,39.69260243,-0.070344461,103.8526783,0.120835383,0.556853022,0.036179,0.649121124,0.082732937,0.040894052,0.091613648,0.237495443,0.354794357,0.191348821,0.297631743,0.367999462,0.241634869,0.211205424,0.113482276,0.17161367,0.10348922,248526953.7,61870.12941,58.54789946,633.5434628,407370.9494,101151.4261,0.354066291,196846.363,488.5712119,217.2263561,5299307146,13350447.44
