"","DASanthesis_BLUP_LassoBLUP","DASmaturity_BLUP_LassoBLUP","DATanthesis_BLUP_LassoBLUP","DATmaturity_BLUP_LassoBLUP","fruitno_BLUP_LassoBLUP","fruitlength_BLUP_LassoBLUP","fruitwidth_BLUP_LassoBLUP","fruitshapeindex_BLUP_LassoBLUP","fruitweight_BLUP_LassoBLUP","yield_BLUP_LassoBLUP","pollenconcentration_BLUP_LassoBLUP","pollenactivity_BLUP_LassoBLUP","leaftemp_BLUP_LassoBLUP","leafminushobotemp_BLUP_LassoBLUP","growthrateplot_BLUP_LassoBLUP","growthrateplant_BLUP_LassoBLUP","height_BLUP_LassoBLUP","heightmax_BLUP_LassoBLUP","leafangledaily_BLUP_LassoBLUP","leafanglemean_BLUP_LassoBLUP","leafanglenoon_BLUP_LassoBLUP","leafanglemidnight_BLUP_LassoBLUP","leafanglemidnightminusnoon_BLUP_LassoBLUP","leafanglebright_BLUP_LassoBLUP","leafanglelow_BLUP_LassoBLUP","leafanglelowminusbright_BLUP_LassoBLUP","leafanglecold_BLUP_LassoBLUP","leafangleHot_BLUP_LassoBLUP","leafanglecoldminushot_BLUP_LassoBLUP","leafareadaily_BLUP_LassoBLUP","leafareadailyplant_BLUP_LassoBLUP","leafareaindex_BLUP_LassoBLUP","leafareaprojecteddaily_BLUP_LassoBLUP","leafareaprojectedplant_BLUP_LassoBLUP","leafinclinationmean_BLUP_LassoBLUP","leafinclinationhot_BLUP_LassoBLUP","leafinclinationcold_BLUP_LassoBLUP","leafinclinationbright_BLUP_LassoBLUP","leafinclinationdark_BLUP_LassoBLUP","leafinclinationnoon_BLUP_LassoBLUP","leafinclinationmidnight_BLUP_LassoBLUP","lightpendaily_BLUP_LassoBLUP","lightpenmeanplot_BLUP_LassoBLUP","lightpenmeanplant_BLUP_LassoBLUP","huedaily_BLUP_LassoBLUP","huemean_BLUP_LassoBLUP","huebin0_BLUP_LassoBLUP","huebin1_BLUP_LassoBLUP","huebin5_BLUP_LassoBLUP","ndvimean_BLUP_LassoBLUP","ndvibin0_BLUP_LassoBLUP","ndvibin1_BLUP_LassoBLUP","ndvibin2_BLUP_LassoBLUP","ndvibin3_BLUP_LassoBLUP","ndvibin4_BLUP_LassoBLUP","ndvibin5_BLUP_LassoBLUP","green_BLUP_LassoBLUP","greenb0_BLUP_LassoBLUP","greenb1_BLUP_LassoBLUP","greenb2_BLUP_LassoBLUP","greenb3_BLUP_LassoBLUP","npcimean_BLUP_LassoBLUP","psrimean_BLUP_LassoBLUP","biomassfinalplot_BLUP_LassoBLUP","biomassfinalplant_BLUP_LassoBLUP","heightfinal_BLUP_LassoBLUP","heighmaxfinal_BLUP_LassoBLUP","leafareafinalplot_BLUP_LassoBLUP","leafareafinalplant_BLUP_LassoBLUP","leafareaindexfinal_BLUP_LassoBLUP","leafareafinalprojectedplot_BLUP_LassoBLUP","leafareafinalprojectedplant_BLUP_LassoBLUP","lightpenetrationfinal_BLUP_LassoBLUP","biomassAUC_BLUP_LassoBLUP","biomassAUCperplant_BLUP_LassoBLUP"
"184",60.184379911006,122.655667421983,18.5757711167287,80.6176546003,14.1556223831421,15.6061502008867,4.89561299818244,3.8060164767705,89.8511579773321,21.869674607123,32049.1051832664,90.2056937821576,NA,NA,7657860.76579808,2101.73987476277,7.57369225073265,7.12029924097847,-0.0552268587150055,36.6944681749096,36.4205869130222,36.8804103019521,0.130145910202954,39.391011915842,32.9897290580465,-6.40818678287523,32.6576569312114,40.2630753992787,-7.2196196915557,11178.429709365,2833.04783090702,0.359458857995913,4852.48268272057,1233.10063174106,1.70136957584646,1.58880478617683,1.86057330001408,1.60317751614935,1.87432317178036,1.70803276937689,1.70110100143711,2.241517558349,193.00828807092,48.7013026310677,0.0560484970410838,107.950024141598,0.0603689018944117,0.640355661733227,0.0121426078687342,0.729862127980893,0.00899365220247557,0.0242998257918347,0.0821742506993565,0.251444311484973,0.426519490618546,0.209351974265388,0.369401284685619,0.234543107368878,0.307383305716481,0.273147127594385,0.130585119976412,NA,0.0379049591917499,484584330.537959,107796.341556274,64.9924239028578,788.324101842969,625433.670788412,1644.20063175525,0.569001934534987,253232.272757254,696.069828578375,245.090428645787,NA,NA
"185",50.4444870723059,111.309573960989,8.53447769379986,69.4203641082891,42.4159987978497,13.5090241192753,1.97357625777505,8.90444047555314,19.4180296946677,15.7020840666868,26144.818666343,91.4230888486496,NA,NA,6365852.92904119,1352.55111086583,4.9977834074658,5.26827408872364,0.00918578882734906,39.0703059503728,39.2926069712813,38.8306042274157,0.125995670583636,39.750321593953,35.9824715134984,-3.53465463311907,36.842124808905,40.2473475861134,-3.90427596782245,10892.8546877744,2706.58322686819,0.343379234700959,5352.92952466225,1327.33911183206,1.63118967211258,1.59031174505392,1.74578273241086,1.58371869109067,1.70972760083113,1.62870230629583,1.62016685144106,1.82502747067793,152.084366951483,39.2868233212892,0.0473573453706067,107.945745892937,0.0649858134668971,0.642595869652545,0.0131520263857625,0.73028865418368,0.00887480964220626,0.0240782451381372,0.0806718621609028,0.253569976490826,0.422766819970118,0.208854655172937,0.374358376181202,0.235889349253788,0.286561135318219,0.268901858899441,0.140184099707059,NA,0.0379958736018461,185432256.34505,76241.8334220847,46.0310460743418,639.819475259609,701200.190998825,1666.47303633376,0.570717879486608,330167.372631455,771.796940835946,209.855596088052,NA,NA
"186",63.2283352278243,121.93644257882,21.7480974315228,79.953970984465,9.76902416369597,12.5216174984212,6.29287432478268,2.22405893007407,118.848378419234,21.611857015331,33093.6003005244,90.0461206211144,NA,NA,9571307.10478599,2065.21809421114,7.2867157986856,6.70967641860596,-0.0534652467510373,36.9299308697292,36.7541366499262,37.0245046619911,0.148251011433181,39.4072908448873,32.966407396137,-6.36124169194646,32.7317271908812,40.4881145104329,-7.47840074891488,11551.8356659615,2869.40956956595,0.363525216940692,5160.25849952273,1259.56838644116,1.69465861811517,1.58363833277682,1.85827573772667,1.60448131475253,1.86987318227296,1.7007888380872,1.6936263759497,2.29652299481333,180.873882801295,45.3460191612292,0.0485682129148966,107.946317349989,0.0653069158006654,0.636178647459851,0.0141191161657393,0.731349668291782,0.00894215262679163,0.0238771449926693,0.0815875672100702,0.251070246267902,0.425195252245307,0.213246519872204,0.363787049778343,0.248485648891701,0.299806101342935,0.261968360855823,0.128786055026971,NA,0.0379121060386664,466597966.346352,117368.748439712,60.365331370504,744.27786245176,755988.731987061,1742.23412220088,0.593163353127952,310384.40253468,727.218346826109,238.601171125892,NA,NA
"187",61.1637243160104,123.804284967412,19.4246339694047,81.6458312291602,0.825221415972524,9.32873592718699,7.19672033278514,1.20665870201979,148.633360029877,21.515347811683,34640.9840944368,87.7062573538465,NA,NA,5987046.88643475,1492.51939004891,5.6177710850853,5.14884881249236,-0.0518446544282246,37.1806560742351,36.9594845147931,37.3874981862739,0.14293086214756,39.3816770444578,33.2653185763898,-6.02689852723187,33.0381059287583,40.3680408417259,-7.06235008630268,10721.8124780546,2711.00815304472,0.366172307480895,4794.47332054552,1208.2716389935,1.67798503295175,1.58082969549907,1.83889052182389,1.60658538039387,1.85215320186449,1.68572871532583,1.67912690038082,2.5346737318469,180.599207166884,46.0373190094297,0.034977427629469,107.939784724902,0.0677694192658142,0.643371567794431,0.0152281838454838,0.726358274077151,0.00911107089229455,0.0250196054251388,0.0845358410265257,0.260285382241268,0.413533712535001,0.203906761973405,0.365425131224835,0.253723930259803,0.292736900906434,0.258666767162526,0.131263259921594,NA,0.0383280752777016,311039469.171283,81716.0017838385,49.1430362653276,670.883728275271,692252.483301432,1644.05005044726,0.561278215179909,288623.292085472,696.783552730185,246.414015739498,NA,NA
"188",53.2216714240598,115.657797403262,10.7680368173847,73.9414478832529,23.6349553946813,15.3147946980293,2.43824241628849,7.14679175886207,28.4838655067319,18.9187915335433,28839.2223177414,91.9167385705576,NA,NA,8309039.519288,1982.33972360389,6.62334313897213,6.45930381553916,-0.018852999800443,37.1394495336223,37.0351100311456,37.2113466566772,0.15238884725512,39.0890231289971,33.9943130516098,-4.75656988874362,34.0738060532782,39.4826260978891,-5.26339470129006,11560.3684158038,2844.42253341137,0.362474360400227,5266.17619156272,1303.43719905066,1.68682854897956,1.60990932552477,1.8154828811859,1.6115867043456,1.8097377591504,1.6923260824835,1.68602185295159,1.7358288412434,203.408169695312,49.8635506649863,0.0614363271004912,107.962924686311,0.0566891283837573,0.629413950836643,0.0110051315455172,0.734820367740509,0.00885471498948756,0.0230254387572544,0.0779159922857458,0.244308084648039,0.430071170428918,0.220935167430411,0.375558806449399,0.228431194921255,0.303345253384227,0.272911747428496,0.135134194321909,NA,0.0370741023435966,441639556.87929,106137.804013628,61.3179745069055,766.683947326412,682279.499306159,1705.16330333364,0.591061227721969,297187.725489469,735.907801589386,235.521380606638,NA,NA
"189",58.8358955443886,118.351255808256,17.4028986267476,76.3392861515365,35.1741974316922,16.8049747752684,3.56634577726436,5.73982627298706,58.7322098714819,22.0835476336818,28636.5305739291,91.7788409415738,NA,NA,10174230.3560831,2162.51473981115,7.18428380429735,6.09679861719176,-0.0299821552357632,37.2914042376393,37.3311824137184,37.3483490521216,0.148524780906477,39.0890530692558,33.9051621394613,-4.88760301723756,34.1092889043702,40.1198727163854,-6.1881972143349,12444.4740932583,3004.65869204377,0.377466489235967,5582.79991801345,1345.92678379777,1.68098122485935,1.60149496967275,1.81701258593865,1.61543280903361,1.80905939048367,1.68859297204889,1.68273794863199,2.08999176326543,188.948714778652,47.0482047425503,0.0509245358873203,107.960928911045,0.060947443632095,0.621898814872769,0.0132244999745537,0.736144926557117,0.00880080263479428,0.0228421441960459,0.0780681135581674,0.243485696879551,0.427984826977312,0.225788581031192,0.367574700176452,0.244361008731849,0.300077889645305,0.263016738514414,0.131772632567251,NA,0.037163474859273,366961051.46692,116010.764484524,59.6637924211603,749.043351065472,747159.004617668,1773.35466166029,0.611377587807744,330078.701437436,759.646489772069,237.903665995002,NA,NA
"190",59.2552326142915,121.691030288405,17.5215691408019,79.675341676408,-7.11529967185042,12.3950440114534,6.17146902499427,2.10263521699778,121.127171793667,21.3577616197122,36309.2391509319,90.3878843921789,NA,NA,8257169.88531453,1887.45846015284,6.81483031429867,6.39542907526402,-0.0530398610046852,37.1111313026691,36.9481725407879,37.2287740232363,0.13696995718934,39.3716947905229,33.2541728717931,-5.92419913843133,33.1387573807565,40.2227008793845,-6.85956580229686,11124.3343504523,2780.05562115472,0.361876918326851,4990.55909984047,1242.8326885384,1.6879700598442,1.59051545901648,1.84671730217434,1.60717610990654,1.85334447922219,1.69442258916227,1.68731654112042,2.2899973757888,184.414626018954,46.2307876966327,0.0485032119664981,107.944965163914,0.0647419467246098,0.637624561631312,0.0140128272890715,0.729633069480637,0.00907311435512978,0.0242043751564315,0.0822204128974441,0.252930460542224,0.421474598075234,0.210919605790265,0.364584488689621,0.248888423027682,0.301502319587194,0.261141119266957,0.127903448181826,NA,0.0380027362714166,418659978.509685,103722.854008361,58.7904925706905,741.406269608388,715086.563643445,1679.16413243582,0.576297539129176,293264.168593154,710.492029202445,245.522683848452,NA,NA
"191",49.1599636087092,111.315063340377,7.24325250397185,69.1054602596109,40.8266098828196,14.058162957832,1.86238575402599,9.22750583498235,16.9050785162789,16.0571006148355,26907.9808781905,91.4311040654821,NA,NA,4988074.92890897,1384.17351561523,5.14025222650712,5.25509763511219,0.00942939678574056,39.0756358265926,39.3114839086383,38.7897877775476,0.135310299319287,39.6400706253748,35.8730001819242,-3.43488991447585,36.788180603142,40.2013595816222,-3.90457170482274,11310.8606785755,2779.70519475222,0.347381438045611,5564.26401946431,1356.77758885102,1.63671008636812,1.59071006782337,1.74869172543367,1.58931732244441,1.71391610948276,1.63193748536974,1.62368976386063,1.87334251848363,160.096275197283,40.5544059730604,0.0470397985092557,107.945181332349,0.0655649304441632,0.643592414318964,0.0136158511650183,0.729864229590335,0.00905464719267213,0.0242281162159786,0.0809915994955312,0.254265946263122,0.420932934542304,0.208218616675361,0.37282283651858,0.238528406169894,0.286000597649519,0.266929180549701,0.138960704385727,NA,0.0380273957260164,297210112.488733,76299.8242991528,46.1480000685939,650.080226738587,717179.100830399,1715.44400116356,0.588149643069064,350108.816020655,794.439496711167,214.204208324425,NA,NA
"192",52.4164386677816,111.237583141543,10.1720428247351,69.3958480284365,236.929404155439,3.14503089921518,1.20876252612885,2.56482469336097,3.93224746041809,13.2226639167854,26039.9414638228,90.1224399850639,NA,NA,8647388.79760509,2341.49166109002,5.10825649790611,4.71841280122385,-0.00888970077385185,38.463660169635,38.4291507324216,38.4478754180813,0.119896549781168,39.0534710630136,36.1222893074208,-3.07862176195314,36.5854244267397,41.3274261583014,-5.43439213238335,14527.7670980566,4271.51534562229,0.403545475882977,7092.34895277556,2081.44794053643,1.62953897003125,1.55995412861841,1.71601713980719,1.60844814402512,1.7068430129054,1.63466460762614,1.62785341411319,1.93167373740656,163.917905507505,48.4094394584168,0.0322906989346565,107.963893306952,0.0735891881588066,0.597771558879155,0.0221590817114265,0.736613821413632,0.0128962396715894,0.0268129141510098,0.0764412495934002,0.230719142276954,0.409743105381658,0.243477183968443,0.338746261221083,0.303801217088633,0.269442241335159,0.237362419277062,0.125114843179175,NA,0.0367699437888108,415226262.727234,134984.609567584,47.908114564115,655.946478903395,893878.507101581,2510.20420434769,0.723301274504658,428285.339429248,1168.13949632483,222.556520487086,NA,NA
"193",55.4025852903628,108.933106913648,13.8407570004672,67.0291420662739,265.154248854605,3.01321216520354,1.05154288560625,2.08264218046843,-1.19195290807921,11.2329631435143,24152.3216053551,88.0140394655212,NA,NA,5551716.91760457,1473.54386745199,4.70150526022603,4.50562253523142,-0.0298397458058746,38.4932976764879,38.5790864312509,38.3957804394453,0.127302940890743,39.2256570159964,36.1937157961538,-3.26507706469287,36.6539959333897,41.4755681877624,-5.51761050399129,12946.3693847166,3260.2733793726,0.358311201062383,6253.91159741627,1577.66556582633,1.63468527853268,1.55666390327834,1.72535675916705,1.60138478360554,1.70879855818034,1.6331219027559,1.62996551807739,1.29211334353167,126.608317345288,35.1827282004858,0.0140814825848127,107.937812628214,0.0972858293425708,0.590061131003533,0.0432259617307763,0.741267108160123,0.0109150567881149,0.0247273655304024,0.0743617551285299,0.227946919332425,0.411085443832809,0.253351570503375,0.28922062640754,0.368290805474644,0.246550108334865,0.21166025144579,0.110009491991981,NA,0.0373011857487455,226080756.542719,86308.8720374275,43.945728359247,607.072224330782,755913.909646941,1929.52492688617,0.666656392243438,369951.87895076,923.70883642206,185.39317895037,NA,NA
