g2pname,genotype,environment,DASanthesis_BLUP,DASmaturity_BLUP,DATanthesis_BLUP,DATmaturity_BLUP,fruitno_BLUP,fruitlength_BLUP,fruitwidth_BLUP,fruitshapeindex_BLUP,fruitweight_BLUP,yield_BLUP,pollenconcentration_BLUP,pollenactivity_BLUP,leaftemp_BLUP,leafminushobotemp_BLUP,growthrateplot_BLUP,growthrateplant_BLUP,height_BLUP,heightmax_BLUP,leafangledaily_BLUP,leafanglemean_BLUP,leafanglenoon_BLUP,leafanglemidnight_BLUP,leafanglemidnightminusnoon_BLUP,leafanglebright_BLUP,leafanglelow_BLUP,leafanglelowminusbright_BLUP,leafanglecold_BLUP,leafangleHot_BLUP,leafanglecoldminushot_BLUP,leafareadaily_BLUP,leafareadailyplant_BLUP,leafareaindex_BLUP,leafareaprojecteddaily_BLUP,leafareaprojectedplant_BLUP,leafinclinationmean_BLUP,leafinclinationhot_BLUP,leafinclinationcold_BLUP,leafinclinationbright_BLUP,leafinclinationdark_BLUP,leafinclinationnoon_BLUP,leafinclinationmidnight_BLUP,lightpendaily_BLUP,lightpenmeanplot_BLUP,lightpenmeanplant_BLUP,huedaily_BLUP,huemean_BLUP,huebin0_BLUP,huebin1_BLUP,huebin5_BLUP,ndvimean_BLUP,ndvibin0_BLUP,ndvibin1_BLUP,ndvibin2_BLUP,ndvibin3_BLUP,ndvibin4_BLUP,ndvibin5_BLUP,green_BLUP,greenb0_BLUP,greenb1_BLUP,greenb2_BLUP,greenb3_BLUP,npcimean_BLUP,psrimean_BLUP,biomassfinalplot_BLUP,biomassfinalplant_BLUP,heightfinal_BLUP,heighmaxfinal_BLUP,leafareafinalplot_BLUP,leafareafinalplant_BLUP,leafareaindexfinal_BLUP,leafareafinalprojectedplot_BLUP,leafareafinalprojectedplant_BLUP,lightpenetrationfinal_BLUP,biomassAUC_BLUP,biomassAUCperplant_BLUP
GPC011120,PPC80,control,53.19468514,121.2671624,11.19468514,79.26716239,10.63553277,8.388277171,3.498338644,2.410282269,25.13281571,8.540159208,39183.82766,91.47454308,26.55655095,-0.15699888,3937752.652,1003.719119,4.580230714,4.320643399,-0.014919952,38.8683472,38.7704072,38.87434155,0.114303765,40.728152,35.72552019,-5.207818927,35.72552019,41.02873711,-5.655304374,9093.125612,2294.117452,0.283391774,4391.719198,1103.335659,1.620427389,1.549565181,1.731442983,1.555514019,1.731442983,1.626994128,1.62028668,2.224987627,169.1683005,43.00270912,0.058413135,107.9233665,0.089128889,0.623346167,0.02403754,0.728523536,0.009554296,0.025287116,0.083637175,0.258041473,0.407442441,0.212856021,0.332010801,0.322707248,0.271517016,0.221875713,0.117997704,0.156260918,0.038316368,220968084.9,56185.75006,39.16479643,583.5173308,563382.5983,1419.721782,0.489951278,258151.2066,648.4869956,221.3875392,6.53E+11,1.64E+11
GPC011350,PPC81,control,57.84681505,119.0504224,15.84681505,77.05042241,13.24355783,10.11711242,6.10059724,1.732573707,65.71667266,22.4124522,42018.30298,88.94301834,26.55655095,-0.15699888,7834385.61,1950.437701,7.821667522,8.560681347,-0.069529171,34.63217244,34.57604388,34.69638146,0.129240825,36.452253,29.40635922,-6.360818628,29.40635922,39.31342145,-8.941995064,10554.31989,2645.089995,0.388166058,4230.181516,1064.032813,1.800128103,1.603379185,2.067765213,1.724852175,2.067765213,1.806401117,1.796819183,3.279734086,239.0904527,57.68085449,0.048897753,107.9451465,0.073026792,0.627090608,0.019811356,0.72878314,0.009663348,0.025902303,0.086404686,0.250043217,0.408929495,0.216477503,0.337505628,0.29240113,0.296442192,0.241125246,0.115307416,0.156260918,0.037771909,418816863.4,104290.4264,63.8444134,818.9667268,660125.816,1651.068028,0.574040347,262591.2752,659.2295573,317.0006222,6.53E+11,1.64E+11
GPC011440,PPC82,control,49.12407147,112.12311,7.124071474,70.12310996,15.16389469,18.43509335,3.267758768,5.60519406,49.78472235,20.19776274,38761.62246,92.97965746,26.55655095,-0.15699888,4565336.552,1156.211102,4.718099009,5.044801962,-0.071962255,37.44589088,37.41276621,37.50559194,0.112436632,39.83630223,33.996119,-5.758505351,33.996119,41.34887168,-7.260927254,8508.254085,2153.629731,0.36147559,3681.907431,930.557941,1.676196576,1.558534181,1.807545093,1.590250051,1.807545093,1.679578935,1.672936725,2.496067324,187.122106,46.77245537,-0.010097619,107.9168625,0.083030274,0.640499555,0.020559066,0.728152674,0.008863633,0.024979522,0.084077044,0.258552,0.412250582,0.208949702,0.3438133,0.293302906,0.283600033,0.237281692,0.122175562,0.156260918,0.038894856,231809183.5,58821.62964,45.46730292,644.1945518,515923.2007,1306.221494,0.448753278,218647.3149,552.8163278,258.0168749,6.53E+11,1.64E+11
GPC011480,PPC83,control,68.31410733,123.2068099,26.31410733,81.20680987,21.58339916,12.4657188,3.037178893,4.088417755,38.37665917,22.4691664,32502.69683,90.47185228,26.55655095,-0.15699888,7097897.952,1771.478444,6.559406686,6.802741654,-0.049253471,37.62681734,37.54977585,37.63654293,0.104968102,39.6846425,34.2953409,-5.406677914,34.2953409,40.6804826,-6.436836475,11370.71436,2841.180584,0.355512826,5120.111037,1280.614141,1.666901712,1.554049681,1.787905839,1.588079049,1.787905839,1.670299263,1.666742602,2.064804169,173.4677209,43.90633606,0.070677406,107.938835,0.076975535,0.625566191,0.018771064,0.737034823,0.008518302,0.023265785,0.078487039,0.239057432,0.416290411,0.234747681,0.341634877,0.296362504,0.292425063,0.233628728,0.117048191,0.156260918,0.037805938,384826561.5,96026.06723,55.76347687,721.9343196,684617.2405,1709.613122,0.595203704,301179.5382,752.6785958,214.8681255,6.53E+11,1.64E+11
GPC011510,PPC84,control,50.86862019,106.3041675,8.868620189,64.30416751,109.9124071,4.571791803,1.653699639,2.733000632,5.267050516,15.61525549,36562.54048,92.3801993,26.55655095,-0.15699888,5562934.083,1398.554863,4.862094784,4.67632552,-0.013568239,41.02074823,40.95321988,41.10362622,0.142310753,40.85264879,36.77026109,-4.525197213,36.77026109,42.12974047,-5.842949458,10418.02585,2612.353395,0.342167592,5433.704969,1356.955117,1.546068473,1.504720177,1.687254661,1.546830011,1.687254661,1.543477081,1.539763082,1.362461317,155.1303343,40.06012907,0.030501346,107.9136533,0.075834787,0.663735811,0.017178118,0.727392407,0.009354367,0.024276451,0.08185937,0.260707559,0.420008045,0.202785043,0.358672092,0.262449282,0.287775316,0.253450029,0.131797296,0.156260918,0.039371257,307214567,77155.58115,48.83695985,646.7436221,628105.0326,1574.492447,0.546386895,313000.6957,781.3348011,184.9750188,6.53E+11,1.64E+11
GPC011580,PPC85,control,46.5072484,112.12311,4.507248402,70.12310996,53.55441281,5.093704332,2.016039444,2.57164145,7.955157357,12.28329632,32108.76223,92.50095346,26.55655095,-0.15699888,5199801.879,1310.310771,4.782437547,4.637942557,-0.041954219,37.2337702,37.15743006,37.28734029,0.131107958,38.09561069,33.42049719,-4.720231989,33.42049719,40.00127817,-6.494871037,10592.38862,2654.220052,0.327686593,4874.80108,1220.928857,1.67,1.592167934,1.832094161,1.653209109,1.832094161,1.673392487,1.669839663,2.180629131,160.4259618,41.16765132,0.041708352,107.9349197,0.078116283,0.629636236,0.018998628,0.732269244,0.009899627,0.024693899,0.081126254,0.248076742,0.40989608,0.224534285,0.352136825,0.285380159,0.277843203,0.239028762,0.127556137,0.156260918,0.03801011,270014394.7,68110.7811,43.00246127,600.8988551,624599.8442,1566.125006,0.543282936,275324.9258,690.07927,218.2499467,6.53E+11,1.64E+11
GPC011650,PPC86,control,50.86862019,114.8940349,8.868620189,72.89403494,13.19165683,18.23937615,4.02537836,4.572495299,62.76631149,21.57591777,38493.97866,92.92359302,26.55655095,-0.15699888,7283546.164,1816.612737,6.378646032,6.718299136,-0.049794156,35.70837295,35.63475474,35.73151784,0.114303765,39.27040771,31.977639,-6.800602925,31.977639,39.32639988,-6.990099298,11015.05426,2755.774798,0.379363883,4680.313951,1173.570504,1.750555492,1.630286187,1.905741365,1.601105061,1.905741365,1.75381631,1.747266199,2.646393338,216.569548,52.95650746,0.040862541,107.9551379,0.062760061,0.631471456,0.014739935,0.729042743,0.009408893,0.025858361,0.083875437,0.249324697,0.419363655,0.211818405,0.361695873,0.252755189,0.299352238,0.264027743,0.127239633,0.156260918,0.03749968,346491989.3,86705.46313,57.16750059,741.1472147,604043.3372,1516.946047,0.525223539,256773.2783,645.1404907,293.3901768,6.53E+11,1.64E+11
GPC011680,PPC87,control,59.88212188,116.8336824,17.88212188,74.83368242,7.706370298,12.07428441,5.474737578,2.248923087,86.30363725,16.5595469,44286.20765,92.19691173,26.55655095,-0.15699888,5614501.968,1411.088859,5.199106173,4.794033272,-0.057363751,35.88929941,35.74062582,35.95912313,0.187121935,39.0440499,31.48316212,-6.986077172,31.48316212,39.47565181,-7.504672414,9338.317911,2353.037848,0.327118711,3988.699466,1005.264882,1.741260628,1.610105935,1.935200246,1.607618067,1.935200246,1.750723086,1.741072076,1.559610188,178.6502058,44.99300539,0.051858094,107.9353476,0.065195119,0.652132483,0.013146989,0.727633467,0.009517945,0.026473549,0.085689898,0.248246918,0.422164273,0.207952777,0.365402443,0.246635994,0.307006924,0.261041842,0.127176332,0.156260918,0.038588598,311510174.3,78200.04618,53.54823944,680.1015197,585083.7044,1471.599915,0.50885721,238263.9588,600.3423209,215.792706,6.53E+11,1.64E+11
GPC014350,PPC88,control,48.83331335,119.8816999,6.833313355,77.8816999,170.1337817,1.636033828,1.027839977,1.571214526,1.300453835,5.591020878,15037.95389,51.93833678,26.55655095,-0.15699888,4489408.867,1137.752486,3.679491185,3.826782612,-0.002754532,38.62815173,38.59291744,38.67479719,0.103100969,37.86925288,37.14809215,-1.718226134,37.14809215,40.38414181,-3.993581418,13884.50617,3444.998124,0.362043472,6848.49945,1701.306528,1.614230813,1.569745432,1.67252522,1.644525101,1.67252522,1.614621232,1.614092557,2.271810484,135.2034316,35.87564121,0.019082887,107.914937,0.076602598,0.661204983,0.014772444,0.722200336,0.013207539,0.030626064,0.088530721,0.257417496,0.395570795,0.20882763,0.388194595,0.238842073,0.25168442,0.259834775,0.159459781,0.156260918,0.040187945,256390103.4,64798.22467,30.30384672,648.6382385,821253.3905,2036.375187,0.714282855,383246.2393,951.44411,195.6089401,6.53E+11,1.64E+11
GPC014360,PPC89,control,47.961039,108.798,5.961038998,66.79799999,166.1146983,2.125326824,1.686639622,1.248496163,2.939543373,12.18121076,30666.03468,90.52360406,26.55655095,-0.15699888,3435561.209,881.7136231,1.611466757,2.073960648,-0.017623379,37.38038302,37.35671681,37.39023035,0.075093981,37.37579285,36.66375838,-1.668511387,36.66375838,41.32940404,-5.210372733,14668.0257,3633.16503,0.416560173,7026.408796,1744.594127,1.657606847,1.547322931,1.689709567,1.659722115,1.689709567,1.661019591,1.657451417,1.254029438,108.4327788,30.25693521,-0.018978642,107.9453176,0.087000955,0.600465115,0.025825541,0.727930157,0.016151944,0.033174698,0.083728814,0.237639301,0.387887684,0.236110823,0.329799865,0.32850438,0.260319665,0.21952511,0.121352651,0.156260918,0.037908024,162192194.1,41895.0354,21.06849069,511.1011877,743086.8052,1849.457353,0.645995759,342628.9555,853.045619,150.5287895,6.53E+11,1.64E+11
